"Name","COVID-19 Cases by Age Group"
"Description","Rates refer to the number of total confirmed cases, per 100,000 individuals in the age range."
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
New York City,0-17 Years,04/02,Rate,51.02,3651000
New York City,18-44 Years,04/02,Rate,602.82,3651000
New York City,45-64 Years,04/02,Rate,851,3651000
New York City,65-75 Years,04/02,Rate,871.81,3651000
New York City,75 and Older,04/02,Rate,879.56,3651000
New York City,0-17 Years,04/06,Rate,69.72,3651000
New York City,18-44 Years,04/06,Rate,792.83,3651000
New York City,45-64 Years,04/06,Rate,1197.78,3651000
New York City,65-75 Years,04/06,Rate,1251.43,3651000
New York City,75 and Older,04/06,Rate,1342.84,3651000
New York City,0-17 Years,04/10,Rate,108.11,3651000
New York City,18-44 Years,04/10,Rate,1082.45,3651000
New York City,45-64 Years,04/10,Rate,1649.48,3651000
New York City,65-75 Years,04/10,Rate,1678.69,3651000
New York City,75 and Older,04/10,Rate,1865.35,3651000
New York City,0-17 Years,04/13,Rate,119.87,3651000
New York City,18-44 Years,04/13,Rate,1200.53,3651000
New York City,45-64 Years,04/13,Rate,1886.97,3651000
New York City,65-75 Years,04/13,Rate,1928.57,3651000
New York City,75 and Older,04/13,Rate,2154.03,3651000
New York City,0-17 Years,04/17,Rate,138.69,3651000
New York City,18-44 Years,04/17,Rate,1354.67,3651000
New York City,45-64 Years,04/17,Rate,2162.4,3651000
New York City,65-75 Years,04/17,Rate,2215.65,3651000
New York City,75 and Older,04/17,Rate,2539.79,3651000
New York City,0-17 Years,04/20,Rate,153.57,3651000
New York City,18-44 Years,04/20,Rate,1456.1,3651000
New York City,45-64 Years,04/20,Rate,2356.17,3651000
New York City,65-75 Years,04/20,Rate,2399.59,3651000
New York City,75 and Older,04/20,Rate,2788.24,3651000
New York City,0-17 Years,04/24,Rate,180.44,3651000
New York City,18-44 Years,04/24,Rate,1600.77,3651000
New York City,45-64 Years,04/24,Rate,2611.61,3651000
New York City,65-75 Years,04/24,Rate,2627.88,3651000
New York City,75 and Older,04/24,Rate,3058.09,3651000
New York City,0-17 Years,04/27,Rate,201.98,3651000
New York City,18-44 Years,04/27,Rate,1705.26,3651000
New York City,45-64 Years,04/27,Rate,2799.35,3651000
New York City,65-75 Years,04/27,Rate,2795.67,3651000
New York City,75 and Older,04/27,Rate,3242.38,3651000
New York City,0-17 Years,05/01,Rate,219,3651000
New York City,18-44 Years,05/01,Rate,1794.92,3651000
New York City,45-64 Years,05/01,Rate,2945.07,3651000
New York City,65-75 Years,05/01,Rate,2937.56,3651000
New York City,75 and Older,05/01,Rate,3440.93,3651000
New York City,0-17 Years,05/04,Rate,236.72,3651000
New York City,18-44 Years,05/04,Rate,1861.24,3651000
New York City,45-64 Years,05/04,Rate,3049.54,3651000
New York City,65-75 Years,05/04,Rate,3038.83,3651000
New York City,75 and Older,05/04,Rate,3556.1,3651000
New York City,0-17 Years,05/08,Rate,249.58,3651000
New York City,18-44 Years,05/08,Rate,1920.27,3651000
New York City,45-64 Years,05/08,Rate,3141.71,3651000
New York City,65-75 Years,05/08,Rate,3140.96,3651000
New York City,75 and Older,05/08,Rate,3688.1,3651000
New York City,0-17 Years,05/11,Rate,266.66,3651000
New York City,18-44 Years,05/11,Rate,1998.02,3651000
New York City,45-64 Years,05/11,Rate,3267,3651000
New York City,65-75 Years,05/11,Rate,3270.69,3651000
New York City,75 and Older,05/11,Rate,3890.49,3651000
New York City,0-17 Years,05/15,Rate,279.34,3651000
New York City,18-44 Years,05/15,Rate,2042.77,3651000
New York City,45-64 Years,05/15,Rate,3332.61,3651000
New York City,65-75 Years,05/15,Rate,3342.78,3651000
New York City,75 and Older,05/15,Rate,4001.46,3651000
New York City,0-17 Years,05/19,Rate,290.98,3651000
New York City,18-44 Years,05/19,Rate,2079.39,3651000
New York City,45-64 Years,05/19,Rate,3395.06,3651000
New York City,65-75 Years,05/19,Rate,3412.16,3651000
New York City,75 and Older,05/19,Rate,4109.33,3651000
New York City,0-17 Years,05/19,Number,5025,3651000
New York City,18-44 Years,05/19,Number,70069,3651000
New York City,45-64 Years,05/19,Number,69804,3651000
New York City,65-75 Years,05/19,Number,23855,3651000
New York City,75 and Older,05/19,Number,22477,3651000
New York City,0-17 Years,05/22,Number,5212,3651000
New York City,18-44 Years,05/22,Number,70933,3651000
New York City,45-64 Years,05/22,Number,70497,3651000
New York City,65-75 Years,05/22,Number,24155,3651000
New York City,75 and Older,05/22,Number,22768,3651000
New York City,0-17 Years,05/22,Rate,301.81,3651000
New York City,18-44 Years,05/22,Rate,2105.03,3651000
New York City,45-64 Years,05/22,Rate,3428.76,3651000
New York City,65-75 Years,05/22,Rate,3455.07,3651000
New York City,75 and Older,05/22,Rate,4162.53,3651000
New York City,0-17 Years,05/25,Number,5322,3651000
New York City,18-44 Years,05/25,Number,71725,3651000
New York City,45-64 Years,05/25,Number,71236,3651000
New York City,65-75 Years,05/25,Number,24393,3651000
New York City,75 and Older,05/25,Number,23028,3651000
New York City,0-17 Years,05/25,Rate,308.18,3651000
New York City,18-44 Years,05/25,Rate,2128.54,3651000
New York City,45-64 Years,05/25,Rate,3464.71,3651000
New York City,65-75 Years,05/25,Rate,3489.11,3651000
New York City,75 and Older,05/25,Rate,4210.06,3651000
New York City,0-17 Years,05/29,Number,5457,3651000
New York City,18-44 Years,05/29,Number,72845,3651000
New York City,45-64 Years,05/29,Number,72314,3651000
New York City,65-75 Years,05/29,Number,24689,3651000
New York City,75 and Older,05/29,Number,23306,3651000
New York City,0-17 Years,05/29,Rate,316,3651000
New York City,18-44 Years,05/29,Rate,2161.77,3651000
New York City,45-64 Years,05/29,Rate,3517.14,3651000
New York City,65-75 Years,05/29,Rate,3531.45,3651000
New York City,75 and Older,05/29,Rate,4260.89,3651000
New York City,0-17 Years,06/01,Number,5526,3651000
New York City,18-44 Years,06/01,Number,73564,3651000
New York City,45-64 Years,06/01,Number,72943,3651000
New York City,65-75 Years,06/01,Number,24882,3651000
New York City,75 and Older,06/01,Number,23495,3651000
New York City,0-17 Years,06/01,Rate,319.99,3651000
New York City,18-44 Years,06/01,Rate,2183.11,3651000
New York City,45-64 Years,06/01,Rate,3547.73,3651000
New York City,65-75 Years,06/01,Rate,3559.06,3651000
New York City,75 and Older,06/01,Rate,4295.44,3651000
New York City,0-17 Years,06/05,Number,5578,3651000
New York City,18-44 Years,06/05,Number,74349,3651000
New York City,45-64 Years,06/05,Number,73646,3651000
New York City,65-75 Years,06/05,Number,25084,3651000
New York City,75 and Older,06/05,Number,23739,3651000
New York City,0-17 Years,06/05,Rate,323,3651000
New York City,18-44 Years,06/05,Rate,2206.41,3651000
New York City,45-64 Years,06/05,Rate,3581.92,3651000
New York City,65-75 Years,06/05,Rate,3587.95,3651000
New York City,75 and Older,06/05,Rate,4340.05,3651000
New York City,0-17 Years,06/08,Number,5637,3651000
New York City,18-44 Years,06/08,Number,74851,3651000
New York City,45-64 Years,06/08,Number,74130,3651000
New York City,65-75 Years,06/08,Number,25234,3651000
New York City,75 and Older,06/08,Number,23963,3651000
New York City,0-17 Years,06/08,Rate,326.42,3651000
New York City,18-44 Years,06/08,Rate,2221.31,3651000
New York City,45-64 Years,06/08,Rate,3605.46,3651000
New York City,65-75 Years,06/08,Rate,3609.4,3651000
New York City,75 and Older,06/08,Rate,4381,3651000
New York City,0-17 Years,06/12,Number,5709,3651000
New York City,18-44 Years,06/12,Number,75434,3651000
New York City,45-64 Years,06/12,Number,74667,3651000
New York City,65-75 Years,06/12,Number,25429,3651000
New York City,75 and Older,06/12,Number,24164,3651000
New York City,0-17 Years,06/12,Rate,330.59,3651000
New York City,18-44 Years,06/12,Rate,2238.61,3651000
New York City,45-64 Years,06/12,Rate,3631.58,3651000
New York City,65-75 Years,06/12,Rate,3637.3,3651000
New York City,75 and Older,06/12,Rate,4417.75,3651000
New York City,0-17 Years,06/15,Number,5755,3651000
New York City,18-44 Years,06/15,Number,75857,3651000
New York City,45-64 Years,06/15,Number,75093,3651000
New York City,65-75 Years,06/15,Number,25572,3651000
New York City,75 and Older,06/15,Number,24323,3651000
New York City,0-17 Years,06/15,Rate,333.25,3651000
New York City,18-44 Years,06/15,Rate,2251.16,3651000
New York City,45-64 Years,06/15,Rate,3652.3,3651000
New York City,65-75 Years,06/15,Rate,3657.75,3651000
New York City,75 and Older,06/15,Rate,4446.82,3651000
New York City,0-17 Years,06/19,Number,5819,3651000
New York City,18-44 Years,06/19,Number,76392,3651000
New York City,45-64 Years,06/19,Number,75621,3651000
New York City,65-75 Years,06/19,Number,25704,3651000
New York City,75 and Older,06/19,Number,24464,3651000
New York City,0-17 Years,06/19,Rate,336.96,3651000
New York City,18-44 Years,06/19,Rate,2267.04,3651000
New York City,45-64 Years,06/19,Rate,3677.98,3651000
New York City,65-75 Years,06/19,Rate,3676.63,3651000
New York City,75 and Older,06/19,Rate,4472.6,3651000
New York City,0-17 Years,06/22,Number,5874,3651000
New York City,18-44 Years,06/22,Number,76854,3651000
New York City,45-64 Years,06/22,Number,75998,3651000
New York City,65-75 Years,06/22,Number,25815,3651000
New York City,75 and Older,06/22,Number,24559,3651000
New York City,0-17 Years,06/22,Rate,340.14,3651000
New York City,18-44 Years,06/22,Rate,2280.75,3651000
New York City,45-64 Years,06/22,Rate,3696.31,3651000
New York City,65-75 Years,06/22,Rate,3692.51,3651000
New York City,75 and Older,06/22,Rate,4489.97,3651000
New York City,0-17 Years,06/26,Number,5926,3651000
New York City,18-44 Years,06/26,Number,77473,3651000
New York City,45-64 Years,06/26,Number,76404,3651000
New York City,65-75 Years,06/26,Number,25951,3651000
