"Name","COVID-19 Cases by Neighborhood Poverty"
"Description","Neighborhood poverty as the percentage of people earning incomes below the Federal Poverty Threshold within a ZCTA, such that:&nbsp;<br />
<em>Low</em>: &lt;10% of residents in ZCTA living below the Federal Poverty Threshold&nbsp;<br />
<em>Medium</em>: 10% to &lt;20%&nbsp;<br />
<em>High</em>: 20% to &lt;30%<br />
<em>Very high</em>: &ge;30% residents living below the FPT<br />
<br />
Rates refer to number of confirmed cases per 100,000 people in ZCTA of residence.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Neighborhood Poverty,TimeFrame,DataFormat,Data,Fips
New York City,Low,05/19,Rate,1699.15,3651000
New York City,Medium,05/19,Rate,2028,3651000
New York City,High,05/19,Rate,2145.95,3651000
New York City,Very High,05/19,Rate,2506.75,3651000
New York City,Low,05/19,Number,31629,3651000
New York City,Medium,05/19,Number,74492,3651000
New York City,High,05/19,Number,45689,3651000
New York City,Very High,05/19,Number,34108,3651000
New York City,Low,05/22,Rate,1713.68,3651000
New York City,Medium,05/22,Rate,2049.27,3651000
New York City,High,05/22,Rate,2170.39,3651000
New York City,Very High,05/22,Rate,2533.19,3651000
New York City,Low,05/22,Number,31899,3651000
New York City,Medium,05/22,Number,75259,3651000
New York City,High,05/22,Number,46209,3651000
New York City,Very High,05/22,Number,34471,3651000
New York City,Low,05/25,Rate,1728.25,3651000
New York City,Medium,05/25,Rate,2068.84,3651000
New York City,High,05/25,Rate,2191.95,3651000
New York City,Very High,05/25,Rate,2561.69,3651000
New York City,Low,05/25,Number,32170,3651000
New York City,Medium,05/25,Number,75972,3651000
New York City,High,05/25,Number,46660,3651000
New York City,Very High,05/25,Number,34861,3651000
New York City,Low,05/29,Number,32517,3651000
New York City,Medium,05/29,Number,77141,3651000
New York City,High,05/29,Number,47336,3651000
New York City,Very High,05/29,Number,35385,3651000
New York City,Low,05/29,Rate,1746.84,3651000
New York City,Medium,05/29,Rate,2100.92,3651000
New York City,High,05/29,Rate,2224.03,3651000
New York City,Very High,05/29,Rate,2600.46,3651000
New York City,Low,06/01,Number,32735,3651000
New York City,Medium,06/01,Number,77791,3651000
New York City,High,06/01,Number,47794,3651000
New York City,Very High,06/01,Number,35668,3651000
New York City,Low,06/01,Rate,1758.51,3651000
New York City,Medium,06/01,Rate,2118.81,3651000
New York City,High,06/01,Rate,2245.62,3651000
New York City,Very High,06/01,Rate,2620.95,3651000
New York City,Low,06/05,Number,32984,3651000
New York City,Medium,06/05,Number,78506,3651000
New York City,High,06/05,Number,48326,3651000
New York City,Very High,06/05,Number,35998,3651000
New York City,Low,06/05,Rate,1772.15,3651000
New York City,Medium,06/05,Rate,2138.53,3651000
New York City,High,06/05,Rate,2270.71,3651000
New York City,Very High,06/05,Rate,2645.2,3651000
New York City,Low,06/08,Number,33149,3651000
New York City,Medium,06/08,Number,79017,3651000
New York City,High,06/08,Number,48728,3651000
New York City,Very High,06/08,Number,36245,3651000
New York City,Low,06/08,Rate,1780.79,3651000
New York City,Medium,06/08,Rate,2152.62,3651000
New York City,High,06/08,Rate,2289.66,3651000
New York City,Very High,06/08,Rate,2663.43,3651000
New York City,Low,06/12,Number,33372,3651000
New York City,Medium,06/12,Number,79628,3651000
New York City,High,06/12,Number,49119,3651000
New York City,Very High,06/12,Number,36540,3651000
New York City,Low,06/12,Rate,1792.88,3651000
New York City,Medium,06/12,Rate,2169.44,3651000
New York City,High,06/12,Rate,2308.13,3651000
New York City,Very High,06/12,Rate,2685.22,3651000
New York City,Low,06/15,Number,33518,3651000
New York City,Medium,06/15,Number,80051,3651000
New York City,High,06/15,Number,49487,3651000
New York City,Very High,06/15,Number,36730,3651000
New York City,Low,06/15,Rate,1800.57,3651000
New York City,Medium,06/15,Rate,2181.07,3651000
New York City,High,06/15,Rate,2325.24,3651000
New York City,Very High,06/15,Rate,2699.06,3651000
New York City,Low,06/19,Number,33695,3651000
New York City,Medium,06/19,Number,80581,3651000
New York City,High,06/19,Number,49874,3651000
New York City,Very High,06/19,Number,36969,3651000
New York City,Low,06/19,Rate,1810.39,3651000
New York City,Medium,06/19,Rate,2195.76,3651000
New York City,High,06/19,Rate,2343.49,3651000
New York City,Very High,06/19,Rate,2716.38,3651000
New York City,Low,06/22,Number,33845,3651000
New York City,Medium,06/22,Number,81007,3651000
New York City,High,06/22,Number,50175,3651000
New York City,Very High,06/22,Number,37136,3651000
New York City,Low,06/22,Rate,1818.76,3651000
New York City,Medium,06/22,Rate,2207.57,3651000
New York City,High,06/22,Rate,2357.69,3651000
New York City,Very High,06/22,Rate,2728.69,3651000
New York City,Low,06/26,Number,34012,3651000
New York City,Medium,06/26,Number,81457,3651000
New York City,High,06/26,Number,50564,3651000
New York City,Very High,06/26,Number,37401,3651000
New York City,Low,06/26,Rate,1828.29,3651000
New York City,Medium,06/26,Rate,2219.98,3651000
New York City,High,06/26,Rate,2376.16,3651000
New York City,Very High,06/26,Rate,2748.06,3651000
New York City,Low,06/30,Number,34164,3651000
New York City,Medium,06/30,Number,81885,3651000
New York City,High,06/30,Number,50920,3651000
New York City,Very High,06/30,Number,37636,3651000
New York City,Low,06/30,Rate,1837.22,3651000
New York City,Medium,06/30,Rate,2232.01,3651000
New York City,High,06/30,Rate,2392.91,3651000
New York City,Very High,06/30,Rate,2765.24,3651000
New York City,Low,07/09,Number,34598,3651000
