"Name","COVID-19 Cases"
"Description","Cases data represent the <strong>total</strong>&nbsp;cumulative number of confirmed cases since the start of the outbreak, by place of residence. Rates are calculated using interpolated intercensal population estimates updated in 2019 by the&nbsp;<a href=""https://github.com/nychealth/coronavirus-data#rates-per-100000-people"" target=""_blank"">Department of Health</a>, and represent the rate per 100,000 people.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","<normal>Data are cumulative and do not represent new cases per day listed.&nbsp;Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete. Zip code data does not include cases where resident zip code is unknown.&nbsp;</normal>"

Location,TimeFrame,DataFormat,Data,Fips
Bronx,04/02,Number,9343,36005
Brooklyn,04/02,Number,13290,36047
Manhattan,04/02,Number,7398,36061
Queens,04/02,Number,16819,36081
Staten Island,04/02,Number,2822,36085
New York City,04/02,Number,49707,3651000
Bronx,04/02,Rate,633.72,36005
Brooklyn,04/02,Rate,490.49,36047
Manhattan,04/02,Rate,396.47,36061
Queens,04/02,Rate,679.53,36081
Staten Island,04/02,Rate,555.36,36085
New York City,04/02,Rate,591.84,3651000
Bronx,04/06,Number,13680,36005
Brooklyn,04/06,Number,18434,36047
Manhattan,04/06,Number,9691,36061
Queens,04/06,Number,23083,36081
Staten Island,04/06,Number,3851,36085
New York City,04/06,Number,68776,3651000
Bronx,04/06,Rate,927.16,36005
Brooklyn,04/06,Rate,678.96,36047
Manhattan,04/06,Rate,516.83,36061
Queens,04/06,Rate,927.55,36081
Staten Island,04/06,Rate,758.9,36085
New York City,04/06,Rate,818.88,3651000
Bronx,04/10,Number,20543,36005
Brooklyn,04/10,Number,24846,36047
Manhattan,04/10,Number,12201,36061
Queens,04/10,Number,29754,36081
Staten Island,04/10,Number,7027,36085
New York City,04/10,Number,94409,3651000
Bronx,04/10,Rate,1396.39,36005
Brooklyn,04/10,Rate,915.6,36047
Manhattan,04/10,Rate,648.71,36061
Queens,04/10,Rate,1190.82,36081
Staten Island,04/10,Rate,1406.31,36085
New York City,04/10,Rate,1124.08,3651000
Zip Code 10001,04/10,Number,197,10001
Zip Code 10002,04/10,Number,492,10002
Zip Code 10003,04/10,Number,264,10003
Zip Code 10004,04/10,Number,22,10004
Zip Code 10005,04/10,Number,36,10005
Zip Code 10006,04/10,Number,8,10006
Zip Code 10007,04/10,Number,32,10007
