"Name","Children Under 6 Years with Elevated Blood Lead Levels (BLL)"
"Description","<g class=""gr_ gr_4 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""4"" data-gr-id=""4""><g class=""gr_ gr_4 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""4"" data-gr-id=""4"">Number</g></g>&nbsp;of children less than 6 years old tested in a given year with blood lead levels of 5 mcg/dL or 10 mcg/dL or greater.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Childhood Lead Exposure; 2005-2018]; retrieved from&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">&nbsp;http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","Rates are calculated by using the number of children less than 6 years old tested in a given year with blood lead levels of 5 mcg/dL or 10 mcg/dL or greater, divided by the number of children less than 6 years old who were tested for lead poisoning in a given year; expressed as cases per 1,000 tested.<br />
Children can receive more than one test during the calendar year, but are only counted once using the highest confirmed blood lead level during the calendar year.&nbsp;"

Location,Blood Lead Level,TimeFrame,DataFormat,Data,Fips
New York City,5 mcg/dL or greater,2018,Number,3866,3651000
Bronx,5 mcg/dL or greater,2018,Number,634,36005
Brooklyn,5 mcg/dL or greater,2018,Number,1870,36047
Manhattan,5 mcg/dL or greater,2018,Number,243,36061
Queens,5 mcg/dL or greater,2018,Number,961,36081
Staten Island,5 mcg/dL or greater,2018,Number,154,36085
Kingsbridge - Riverdale,5 mcg/dL or greater,2018,Number,18,uhf101
Northeast Bronx,5 mcg/dL or greater,2018,Number,70,uhf102
Fordham - Bronx Park,5 mcg/dL or greater,2018,Number,152,uhf103
Pelham - Throgs Neck,5 mcg/dL or greater,2018,Number,121,uhf104
Crotona - Tremont,5 mcg/dL or greater,2018,Number,108,uhf105
High Bridge - Morrisania,5 mcg/dL or greater,2018,Number,107,uhf106
Hunts Point - Mott Haven,5 mcg/dL or greater,2018,Number,58,uhf107
Greenpoint,5 mcg/dL or greater,2018,Number,172,uhf201
Downtown  - Heights - Slope,5 mcg/dL or greater,2018,Number,92,uhf202
Bedford Stuyvesant - Crown Heights,5 mcg/dL or greater,2018,Number,168,uhf203
East New York,5 mcg/dL or greater,2018,Number,118,uhf204
Sunset Park,5 mcg/dL or greater,2018,Number,70,uhf205
Borough Park,5 mcg/dL or greater,2018,Number,518,uhf206
East Flatbush - Flatbush,5 mcg/dL or greater,2018,Number,202,uhf207
Canarsie - Flatlands,5 mcg/dL or greater,2018,Number,73,uhf208
Bensonhurst - Bay Ridge,5 mcg/dL or greater,2018,Number,117,uhf209
Coney Island - Sheepshead Bay,5 mcg/dL or greater,2018,Number,213,uhf210
Williamsburg - Bushwick,5 mcg/dL or greater,2018,Number,127,uhf211
Washington Heights - Inwood,5 mcg/dL or greater,2018,Number,69,uhf301
Central Harlem - Morningside Heights,5 mcg/dL or greater,2018,Number,55,uhf302
East Harlem,5 mcg/dL or greater,2018,Number,20,uhf303
Upper West Side,5 mcg/dL or greater,2018,Number,29,uhf304
Upper East Side,5 mcg/dL or greater,2018,Number,17,uhf305
Chelsea - Clinton,5 mcg/dL or greater,2018,Number,12,uhf306
Gramercy Park -  Murray Hill,5 mcg/dL or greater,2018,Number,12,uhf307
Greenwich Village - Soho,5 mcg/dL or greater,2018,Number,12,uhf308
Union Square - Lower East Side,5 mcg/dL or greater,2018,Number,15,uhf309
Lower Manhattan,5 mcg/dL or greater,2018,Number,2,uhf310
Long Island City - Astoria,5 mcg/dL or greater,2018,Number,68,uhf401
West Queens,5 mcg/dL or greater,2018,Number,260,uhf402
