"Name","Graduation Rate by Economic Status"
"Description","New York City public high school students who graduated as of June after four years of instruction."
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0""."

Location,Economic Status,TimeFrame,DataFormat,Data,Fips
New York City,Economically Disadvantaged,2009,Percent,0.59347,3651000
New York City,Not Economically Disadvantaged,2009,Percent,0.58211,3651000
Lower East Side,Economically Disadvantaged,2009,Percent,0.54961,SD1
Lower East Side,Not Economically Disadvantaged,2009,Percent,0.68924,SD1
"Stuyvesant Town, Upper E. Side",Economically Disadvantaged,2009,Percent,0.63261,SD2
"Stuyvesant Town, Upper E. Side",Not Economically Disadvantaged,2009,Percent,0.60428,SD2
Upper West Side,Economically Disadvantaged,2009,Percent,0.55418,SD3
Upper West Side,Not Economically Disadvantaged,2009,Percent,0.81648,SD3
East Harlem,Economically Disadvantaged,2009,Percent,0.69801,SD4
East Harlem,Not Economically Disadvantaged,2009,Percent,0.57937,SD4
Central Harlem,Economically Disadvantaged,2009,Percent,0.60595,SD5
Central Harlem,Not Economically Disadvantaged,2009,Percent,0.67816,SD5
Washington Heights,Economically Disadvantaged,2009,Percent,0.7405,SD6
Washington Heights,Not Economically Disadvantaged,2009,Percent,0.54167,SD6
Mott Haven,Economically Disadvantaged,2009,Percent,0.5259,SD7
Mott Haven,Not Economically Disadvantaged,2009,Percent,0.43769,SD7
"Hunts Point, Port Morris",Economically Disadvantaged,2009,Percent,0.44553,SD8
"Hunts Point, Port Morris",Not Economically Disadvantaged,2009,Percent,0.2425,SD8
"East Tremont, Morris Heights",Economically Disadvantaged,2009,Percent,0.6959,SD9
"East Tremont, Morris Heights",Not Economically Disadvantaged,2009,Percent,0.53618,SD9
"Riverdale, Kingsbridge, Fordham",Economically Disadvantaged,2009,Percent,0.61144,SD10
"Riverdale, Kingsbridge, Fordham",Not Economically Disadvantaged,2009,Percent,0.59768,SD10
"Eastchester, Baychester, Co-op City",Economically Disadvantaged,2009,Percent,0.59012,SD11
"Eastchester, Baychester, Co-op City",Not Economically Disadvantaged,2009,Percent,0.54472,SD11
"Crotona Park, Morrisania, Melrose",Economically Disadvantaged,2009,Percent,0.50658,SD12
"Crotona Park, Morrisania, Melrose",Not Economically Disadvantaged,2009,Percent,0.39241,SD12
"Brooklyn Hts, Downtown Brooklyn",Economically Disadvantaged,2009,Percent,0.75086,SD13
"Brooklyn Hts, Downtown Brooklyn",Not Economically Disadvantaged,2009,Percent,0.72642,SD13
"Williamsburg, Greenpoint",Economically Disadvantaged,2009,Percent,0.6679,SD14
"Williamsburg, Greenpoint",Not Economically Disadvantaged,2009,Percent,0.54098,SD14
"S. Brooklyn, Park Slope, Sunset Park",Economically Disadvantaged,2009,Percent,0.51835,SD15
"S. Brooklyn, Park Slope, Sunset Park",Not Economically Disadvantaged,2009,Percent,0.51163,SD15
Bedford Stuyvesant,Economically Disadvantaged,2009,Percent,0.4003,SD16
Bedford Stuyvesant,Not Economically Disadvantaged,2009,Percent,0.36934,SD16
Crown Heights,Economically Disadvantaged,2009,Percent,0.61432,SD17
Crown Heights,Not Economically Disadvantaged,2009,Percent,0.46024,SD17
"East Flatbush, Canarsie",Economically Disadvantaged,2009,Percent,0.3473,SD18
"East Flatbush, Canarsie",Not Economically Disadvantaged,2009,Percent,0.34538,SD18
East New York,Economically Disadvantaged,2009,Percent,0.50829,SD19
East New York,Not Economically Disadvantaged,2009,Percent,0.404,SD19
"Bay Ridge, Bensonhurst",Economically Disadvantaged,2009,Percent,0.61357,SD20
"Bay Ridge, Bensonhurst",Not Economically Disadvantaged,2009,Percent,0.52547,SD20
"Gravesend, Coney Island",Economically Disadvantaged,2009,Percent,0.61672,SD21
"Gravesend, Coney Island",Not Economically Disadvantaged,2009,Percent,0.48178,SD21
"Flatbush, Midwood, Sheepshead Bay",Economically Disadvantaged,2009,Percent,0.66022,SD22
"Flatbush, Midwood, Sheepshead Bay",Not Economically Disadvantaged,2009,Percent,0.69705,SD22
"Brownsville, Ocean Hill",Economically Disadvantaged,2009,Percent,0.46404,SD23
"Brownsville, Ocean Hill",Not Economically Disadvantaged,2009,Percent,0.3787,SD23
Bushwick,Economically Disadvantaged,2009,Percent,0.48968,SD32
Bushwick,Not Economically Disadvantaged,2009,Percent,0.43636,SD32
"Sunnyside, Woodside, Jackson Hts",Economically Disadvantaged,2009,Percent,0.6095,SD24
"Sunnyside, Woodside, Jackson Hts",Not Economically Disadvantaged,2009,Percent,0.50622,SD24
"Flushing, Whitestone",Economically Disadvantaged,2009,Percent,0.64971,SD25
"Flushing, Whitestone",Not Economically Disadvantaged,2009,Percent,0.3472,SD25
