"Name","Graduation Rate by English Language Proficiency"
"Description","New York City public high school students who graduated as of June after four years of instruction.<br />
<br />
English Language Learners are students that classified as ELL as of graduation. English Language Proficient students includes students that never classified as ELLs, and students were declassified more than two year prior. Former English Language Learners are students who were classified as ELL in the prior two school years and are no longer ELL.&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"".<br />
<br />
Graduation rates for Former ELLs are not reported prior to 2009."

Location,English Language Proficiency,TimeFrame,DataFormat,Data,Fips
New York City,English Language Learners,2005,Percent,0.28752,3651000
New York City,English Language Proficient,2005,Percent,0.54379,3651000
Bronx,English Language Learners,2005,Percent,0.20618,36005
Bronx,English Language Proficient,2005,Percent,0.49812,36005
Brooklyn,English Language Learners,2005,Percent,0.28115,36047
Brooklyn,English Language Proficient,2005,Percent,0.53575,36047
Manhattan,English Language Learners,2005,Percent,0.36884,36061
Manhattan,English Language Proficient,2005,Percent,0.65525,36061
Queens,English Language Learners,2005,Percent,0.33538,36081
Queens,English Language Proficient,2005,Percent,0.59456,36081
Staten Island,English Language Learners,2005,Percent,0.26923,36085
Staten Island,English Language Proficient,2005,Percent,0.70039,36085
Lower East Side,English Language Learners,2005,Percent,0.37778,SD1
Lower East Side,English Language Proficient,2005,Percent,0.72446,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2005,Percent,0.36693,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2005,Percent,0.63615,SD2
Upper West Side,English Language Learners,2005,Percent,0.36986,SD3
Upper West Side,English Language Proficient,2005,Percent,0.72124,SD3
East Harlem,English Language Learners,2005,Percent,0.38095,SD4
East Harlem,English Language Proficient,2005,Percent,0.60214,SD4
Central Harlem,English Language Learners,2005,Percent,No Data,SD5
Central Harlem,English Language Proficient,2005,Percent,0.73451,SD5
Washington Heights,English Language Learners,2005,Percent,0.3861,SD6
Washington Heights,English Language Proficient,2005,Percent,0.68774,SD6
Mott Haven,English Language Learners,2005,Percent,0.31746,SD7
Mott Haven,English Language Proficient,2005,Percent,0.55706,SD7
"Hunts Point, Port Morris",English Language Learners,2005,Percent,0.19856,SD8
"Hunts Point, Port Morris",English Language Proficient,2005,Percent,0.49312,SD8
"East Tremont, Morris Heights",English Language Learners,2005,Percent,0.22026,SD9
"East Tremont, Morris Heights",English Language Proficient,2005,Percent,0.42995,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2005,Percent,0.17991,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2005,Percent,0.53951,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2005,Percent,0.25573,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2005,Percent,0.43294,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2005,Percent,0.16279,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2005,Percent,0.4276,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2005,Percent,0.58333,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2005,Percent,0.77132,SD13
"Williamsburg, Greenpoint",English Language Learners,2005,Percent,0.35345,SD14
"Williamsburg, Greenpoint",English Language Proficient,2005,Percent,0.50431,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2005,Percent,0.12698,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2005,Percent,0.48079,SD15
Bedford Stuyvesant,English Language Learners,2005,Percent,0.20833,SD16
Bedford Stuyvesant,English Language Proficient,2005,Percent,0.46206,SD16
Crown Heights,English Language Learners,2005,Percent,0.2906,SD17
Crown Heights,English Language Proficient,2005,Percent,0.47712,SD17
"East Flatbush, Canarsie",English Language Learners,2005,Percent,0.16529,SD18
"East Flatbush, Canarsie",English Language Proficient,2005,Percent,0.40187,SD18
East New York,English Language Learners,2005,Percent,0.21168,SD19
East New York,English Language Proficient,2005,Percent,0.40014,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2005,Percent,0.26677,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2005,Percent,0.55222,SD20
"Gravesend, Coney Island",English Language Learners,2005,Percent,0.31473,SD21
"Gravesend, Coney Island",English Language Proficient,2005,Percent,0.56099,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2005,Percent,0.31801,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2005,Percent,0.64201,SD22
"Brownsville, Ocean Hill",English Language Learners,2005,Percent,No Data,SD23
"Brownsville, Ocean Hill",English Language Proficient,2005,Percent,0.35652,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2005,Percent,0.32,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2005,Percent,0.55121,SD24
"Flushing, Whitestone",English Language Learners,2005,Percent,0.29927,SD25
"Flushing, Whitestone",English Language Proficient,2005,Percent,0.60799,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2005,Percent,0.44523,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2005,Percent,0.72573,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2005,Percent,0.30841,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2005,Percent,0.42188,SD27
"Jamaica, Forest Hills",English Language Learners,2005,Percent,0.40841,SD28
"Jamaica, Forest Hills",English Language Proficient,2005,Percent,0.66226,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2005,Percent,0.2093,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2005,Percent,0.43935,SD29
"Long Island City, Astoria",English Language Learners,2005,Percent,0.30651,SD30
"Long Island City, Astoria",English Language Proficient,2005,Percent,0.58728,SD30
Staten Island,English Language Learners,2005,Percent,0.26923,SD31
Staten Island,English Language Proficient,2005,Percent,0.70039,SD31
Bushwick,English Language Learners,2005,Percent,0.25444,SD32
Bushwick,English Language Proficient,2005,Percent,0.28667,SD32
New York City,English Language Learners,2006,Percent,0.24222,3651000
New York City,English Language Proficient,2006,Percent,0.56005,3651000
Bronx,English Language Learners,2006,Percent,0.20894,36005
Bronx,English Language Proficient,2006,Percent,0.51144,36005
Brooklyn,English Language Learners,2006,Percent,0.23253,36047
Brooklyn,English Language Proficient,2006,Percent,0.5459,36047
Manhattan,English Language Learners,2006,Percent,0.25463,36061
Manhattan,English Language Proficient,2006,Percent,0.64781,36061
Queens,English Language Learners,2006,Percent,0.25495,36081
Queens,English Language Proficient,2006,Percent,0.59862,36081
Staten Island,English Language Learners,2006,Percent,0.29286,36085
Staten Island,English Language Proficient,2006,Percent,0.6977,36085
Lower East Side,English Language Learners,2006,Percent,0.12903,SD1
