"Name","Graduation Rate by Race/Ethnicity"
"Description","New York City public high school students who graduated as of June after four years of instruction."
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0""."

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Staten Island,Asian,2001,Percent,0.82154,36085
Staten Island,Asian,2002,Percent,0.84936,36085
Staten Island,Asian,2003,Percent,0.84123,36085
Staten Island,Asian,2004,Percent,0.87879,36085
Staten Island,Black,2001,Percent,0.47708,36085
Staten Island,Black,2002,Percent,0.52765,36085
Staten Island,Black,2003,Percent,0.56268,36085
Staten Island,Black,2004,Percent,0.52252,36085
Staten Island,Latino,2001,Percent,0.54466,36085
Staten Island,Latino,2002,Percent,0.50435,36085
Staten Island,Latino,2003,Percent,0.52778,36085
Staten Island,Latino,2004,Percent,0.53962,36085
Staten Island,White,2001,Percent,0.75278,36085
Staten Island,White,2002,Percent,0.75676,36085
Staten Island,White,2003,Percent,0.75536,36085
Staten Island,White,2004,Percent,0.76329,36085
Lower East Side,Latino,2001,Percent,0.52174,SD1
Lower East Side,Latino,2002,Percent,0.4527,SD1
Lower East Side,Latino,2003,Percent,0.47222,SD1
Lower East Side,Latino,2004,Percent,0.53435,SD1
Lower East Side,White,2001,Percent,0.90323,SD1
Lower East Side,White,2002,Percent,0.89286,SD1
Lower East Side,White,2003,Percent,0.81609,SD1
Lower East Side,White,2004,Percent,0.87143,SD1
"Stuyvesant Town, Upper E. Side",Asian,2001,Percent,0.80997,SD2
"Stuyvesant Town, Upper E. Side",Asian,2002,Percent,0.81254,SD2
"Stuyvesant Town, Upper E. Side",Asian,2003,Percent,0.79828,SD2
"Stuyvesant Town, Upper E. Side",Asian,2004,Percent,0.80875,SD2
"Stuyvesant Town, Upper E. Side",Black,2001,Percent,0.49675,SD2
"Stuyvesant Town, Upper E. Side",Black,2002,Percent,0.51674,SD2
"Stuyvesant Town, Upper E. Side",Black,2003,Percent,0.47042,SD2
"Stuyvesant Town, Upper E. Side",Black,2004,Percent,0.50185,SD2
"Stuyvesant Town, Upper E. Side",Latino,2001,Percent,0.49795,SD2
"Stuyvesant Town, Upper E. Side",Latino,2002,Percent,0.50787,SD2
"Stuyvesant Town, Upper E. Side",Latino,2003,Percent,0.45896,SD2
"Stuyvesant Town, Upper E. Side",Latino,2004,Percent,0.51842,SD2
"Stuyvesant Town, Upper E. Side",White,2001,Percent,0.82731,SD2
"Stuyvesant Town, Upper E. Side",White,2002,Percent,0.80183,SD2
"Stuyvesant Town, Upper E. Side",White,2003,Percent,0.79292,SD2
"Stuyvesant Town, Upper E. Side",White,2004,Percent,0.77801,SD2
Upper West Side,Asian,2001,Percent,0.89209,SD3
Upper West Side,Asian,2002,Percent,0.92414,SD3
Upper West Side,Asian,2003,Percent,0.92568,SD3
Upper West Side,Asian,2004,Percent,0.92486,SD3
Upper West Side,Black,2001,Percent,0.62183,SD3
Upper West Side,Black,2002,Percent,0.60749,SD3
Upper West Side,Black,2003,Percent,0.53379,SD3
Upper West Side,Black,2004,Percent,0.57018,SD3
Upper West Side,Latino,2001,Percent,0.5409,SD3
Upper West Side,Latino,2002,Percent,0.52874,SD3
Upper West Side,Latino,2003,Percent,0.4669,SD3
Upper West Side,Latino,2004,Percent,0.50384,SD3
Upper West Side,White,2001,Percent,0.87533,SD3
Upper West Side,White,2002,Percent,0.90686,SD3
Upper West Side,White,2003,Percent,0.92,SD3
Upper West Side,White,2004,Percent,0.91892,SD3
East Harlem,Asian,2001,Percent,0.7234,SD4
East Harlem,Asian,2002,Percent,0.83333,SD4
East Harlem,Asian,2003,Percent,0.87755,SD4
East Harlem,Asian,2004,Percent,0.84615,SD4
East Harlem,Black,2001,Percent,0.53759,SD4
East Harlem,Black,2002,Percent,0.62452,SD4
East Harlem,Black,2003,Percent,0.63636,SD4
East Harlem,Black,2004,Percent,0.63913,SD4
East Harlem,Latino,2001,Percent,0.59034,SD4
East Harlem,Latino,2002,Percent,0.66023,SD4
East Harlem,Latino,2003,Percent,0.65207,SD4
East Harlem,Latino,2004,Percent,0.63063,SD4
East Harlem,White,2001,Percent,0.7619,SD4
East Harlem,White,2002,Percent,0.68182,SD4
East Harlem,White,2003,Percent,No Data,SD4
East Harlem,White,2004,Percent,No Data,SD4
Central Harlem,Asian,2001,Percent,No Data,SD5
Central Harlem,Asian,2003,Percent,No Data,SD5
Central Harlem,Asian,2004,Percent,0.94595,SD5
Central Harlem,Black,2001,Percent,0.74242,SD5
Central Harlem,Black,2002,Percent,0.66452,SD5
Central Harlem,Black,2003,Percent,0.6129,SD5
Central Harlem,Black,2004,Percent,0.52392,SD5
Central Harlem,Latino,2001,Percent,0.62963,SD5
Central Harlem,Latino,2002,Percent,0.53086,SD5
Central Harlem,Latino,2003,Percent,0.44961,SD5
Central Harlem,Latino,2004,Percent,0.58935,SD5
Central Harlem,White,2001,Percent,No Data,SD5
Central Harlem,White,2002,Percent,No Data,SD5
