"Name","Graduation Rate by Students with Disabilities"
"Description","New York City public high school students who graduated as of June after four years of instruction."
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0""."

Location,Students with Disabilities,TimeFrame,DataFormat,Data,Fips
New York City,General Education,2005,Percent,0.55547,3651000
New York City,General Education,2006,Percent,0.56177,3651000
New York City,General Education,2007,Percent,0.60876,3651000
New York City,General Education,2008,Percent,0.63794,3651000
New York City,General Education,2009,Percent,0.66066,3651000
New York City,General Education,2010,Percent,0.68023,3651000
New York City,General Education,2011,Percent,0.66987,3651000
New York City,General Education,2012,Percent,0.66836,3651000
New York City,General Education,2013,Percent,0.65737,3651000
New York City,General Education,2014,Percent,0.69408,3651000
New York City,Students with Disabilities,2005,Percent,0.171,3651000
New York City,Students with Disabilities,2006,Percent,0.19903,3651000
New York City,Students with Disabilities,2007,Percent,0.19534,3651000
New York City,Students with Disabilities,2008,Percent,0.225,3651000
New York City,Students with Disabilities,2009,Percent,0.24747,3651000
New York City,Students with Disabilities,2010,Percent,0.28936,3651000
New York City,Students with Disabilities,2011,Percent,0.27396,3651000
New York City,Students with Disabilities,2012,Percent,0.27618,3651000
New York City,Students with Disabilities,2013,Percent,0.33241,3651000
New York City,Students with Disabilities,2014,Percent,0.36632,3651000
Bronx,General Education,2005,Percent,0.52,36005
Bronx,General Education,2006,Percent,0.51396,36005
Bronx,General Education,2007,Percent,0.56302,36005
Bronx,General Education,2008,Percent,0.60263,36005
Bronx,General Education,2009,Percent,0.62583,36005
Bronx,General Education,2010,Percent,0.62581,36005
Bronx,General Education,2011,Percent,0.59817,36005
Bronx,General Education,2012,Percent,0.58352,36005
Bronx,General Education,2013,Percent,0.57588,36005
Bronx,General Education,2014,Percent,0.61356,36005
Bronx,Students with Disabilities,2005,Percent,0.14558,36005
Bronx,Students with Disabilities,2006,Percent,0.17149,36005
Bronx,Students with Disabilities,2007,Percent,0.17077,36005
Bronx,Students with Disabilities,2008,Percent,0.23053,36005
Bronx,Students with Disabilities,2009,Percent,0.22788,36005
Bronx,Students with Disabilities,2010,Percent,0.26705,36005
Bronx,Students with Disabilities,2011,Percent,0.2325,36005
Bronx,Students with Disabilities,2012,Percent,0.22209,36005
Bronx,Students with Disabilities,2013,Percent,0.27544,36005
Bronx,Students with Disabilities,2014,Percent,0.29911,36005
Brooklyn,General Education,2005,Percent,0.5554,36047
Brooklyn,General Education,2006,Percent,0.55806,36047
Brooklyn,General Education,2007,Percent,0.59033,36047
Brooklyn,General Education,2008,Percent,0.62213,36047
Brooklyn,General Education,2009,Percent,0.63277,36047
Brooklyn,General Education,2010,Percent,0.65818,36047
Brooklyn,General Education,2011,Percent,0.65797,36047
Brooklyn,General Education,2012,Percent,0.66937,36047
Brooklyn,General Education,2013,Percent,0.65552,36047
Brooklyn,General Education,2014,Percent,0.6907,36047
Brooklyn,Students with Disabilities,2005,Percent,0.15773,36047
Brooklyn,Students with Disabilities,2006,Percent,0.15642,36047
Brooklyn,Students with Disabilities,2007,Percent,0.17777,36047
Brooklyn,Students with Disabilities,2008,Percent,0.20641,36047
Brooklyn,Students with Disabilities,2009,Percent,0.22443,36047
Brooklyn,Students with Disabilities,2010,Percent,0.25873,36047
Brooklyn,Students with Disabilities,2011,Percent,0.2469,36047
Brooklyn,Students with Disabilities,2012,Percent,0.25399,36047
Brooklyn,Students with Disabilities,2013,Percent,0.32132,36047
Brooklyn,Students with Disabilities,2014,Percent,0.35779,36047
Manhattan,General Education,2005,Percent,0.66785,36061
Manhattan,General Education,2006,Percent,0.64266,36061
Manhattan,General Education,2007,Percent,0.62217,36061
Manhattan,General Education,2008,Percent,0.65409,36061
Manhattan,General Education,2009,Percent,0.69133,36061
Manhattan,General Education,2010,Percent,0.70173,36061
Manhattan,General Education,2011,Percent,0.68166,36061
Manhattan,General Education,2012,Percent,0.68256,36061
Manhattan,General Education,2013,Percent,0.67299,36061
Manhattan,General Education,2014,Percent,0.7105,36061
Manhattan,Students with Disabilities,2005,Percent,0.19699,36061
Manhattan,Students with Disabilities,2006,Percent,0.2218,36061
Manhattan,Students with Disabilities,2007,Percent,0.20436,36061
Manhattan,Students with Disabilities,2008,Percent,0.26248,36061
Manhattan,Students with Disabilities,2009,Percent,0.28058,36061
Manhattan,Students with Disabilities,2010,Percent,0.32993,36061
Manhattan,Students with Disabilities,2011,Percent,0.30521,36061
Manhattan,Students with Disabilities,2012,Percent,0.30535,36061
Manhattan,Students with Disabilities,2013,Percent,0.36085,36061
Manhattan,Students with Disabilities,2014,Percent,0.39767,36061
Queens,General Education,2005,Percent,0.59641,36081
Queens,General Education,2006,Percent,0.58825,36081
Queens,General Education,2007,Percent,0.62631,36081
Queens,General Education,2008,Percent,0.64566,36081
Queens,General Education,2009,Percent,0.6689,36081
Queens,General Education,2010,Percent,0.69914,36081
Queens,General Education,2011,Percent,0.69944,36081
Queens,General Education,2012,Percent,0.68631,36081
Queens,General Education,2013,Percent,0.67658,36081
Queens,General Education,2014,Percent,0.70788,36081
Queens,Students with Disabilities,2005,Percent,0.2221,36081
Queens,Students with Disabilities,2006,Percent,0.22891,36081
Queens,Students with Disabilities,2007,Percent,0.20215,36081
Queens,Students with Disabilities,2008,Percent,0.24526,36081
Queens,Students with Disabilities,2009,Percent,0.27249,36081
Queens,Students with Disabilities,2010,Percent,0.28196,36081
Queens,Students with Disabilities,2011,Percent,0.2958,36081
Queens,Students with Disabilities,2012,Percent,0.31105,36081
Queens,Students with Disabilities,2013,Percent,0.35004,36081
Queens,Students with Disabilities,2014,Percent,0.38725,36081
Staten Island,General Education,2005,Percent,0.74976,36085
Staten Island,General Education,2006,Percent,0.72329,36085
Staten Island,General Education,2007,Percent,0.75704,36085
Staten Island,General Education,2008,Percent,0.7646,36085
Staten Island,General Education,2009,Percent,0.77547,36085
Staten Island,General Education,2010,Percent,0.80683,36085
Staten Island,General Education,2011,Percent,0.79673,36085
Staten Island,General Education,2012,Percent,0.80312,36085
Staten Island,General Education,2013,Percent,0.78277,36085
Staten Island,General Education,2014,Percent,0.83057,36085
Staten Island,Students with Disabilities,2005,Percent,0.31434,36085
Staten Island,Students with Disabilities,2006,Percent,0.36009,36085
Staten Island,Students with Disabilities,2007,Percent,0.28904,36085
Staten Island,Students with Disabilities,2008,Percent,0.31758,36085
Staten Island,Students with Disabilities,2009,Percent,0.37166,36085
Staten Island,Students with Disabilities,2010,Percent,0.40555,36085
Staten Island,Students with Disabilities,2011,Percent,0.38841,36085
Staten Island,Students with Disabilities,2012,Percent,0.37763,36085
Staten Island,Students with Disabilities,2013,Percent,0.44565,36085
Staten Island,Students with Disabilities,2014,Percent,0.48539,36085
Lower East Side,General Education,2005,Percent,0.7893,SD1
Lower East Side,General Education,2006,Percent,0.62179,SD1
Lower East Side,General Education,2007,Percent,0.61067,SD1
Lower East Side,General Education,2008,Percent,0.68246,SD1
Lower East Side,General Education,2009,Percent,0.6336,SD1
Lower East Side,General Education,2010,Percent,0.67013,SD1
Lower East Side,General Education,2011,Percent,0.62,SD1
Lower East Side,General Education,2012,Percent,0.61427,SD1
Lower East Side,General Education,2013,Percent,0.55115,SD1
Lower East Side,General Education,2014,Percent,0.5387,SD1
Lower East Side,Students with Disabilities,2005,Percent,0.21739,SD1
Lower East Side,Students with Disabilities,2006,Percent,0.33962,SD1
Lower East Side,Students with Disabilities,2007,Percent,0.22093,SD1
Lower East Side,Students with Disabilities,2008,Percent,0.33929,SD1
Lower East Side,Students with Disabilities,2009,Percent,0.34146,SD1
Lower East Side,Students with Disabilities,2010,Percent,0.256,SD1
Lower East Side,Students with Disabilities,2011,Percent,0.30488,SD1
Lower East Side,Students with Disabilities,2012,Percent,0.2795,SD1
Lower East Side,Students with Disabilities,2013,Percent,0.33607,SD1
Lower East Side,Students with Disabilities,2014,Percent,0.31111,SD1
"Stuyvesant Town, Upper E. Side",General Education,2005,Percent,0.64525,SD2
"Stuyvesant Town, Upper E. Side",General Education,2006,Percent,0.63195,SD2
"Stuyvesant Town, Upper E. Side",General Education,2007,Percent,0.59508,SD2
"Stuyvesant Town, Upper E. Side",General Education,2008,Percent,0.63472,SD2
"Stuyvesant Town, Upper E. Side",General Education,2009,Percent,0.67337,SD2
"Stuyvesant Town, Upper E. Side",General Education,2010,Percent,0.68959,SD2
"Stuyvesant Town, Upper E. Side",General Education,2011,Percent,0.67883,SD2
"Stuyvesant Town, Upper E. Side",General Education,2012,Percent,0.68214,SD2
"Stuyvesant Town, Upper E. Side",General Education,2013,Percent,0.6814,SD2
"Stuyvesant Town, Upper E. Side",General Education,2014,Percent,0.71935,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2005,Percent,0.20426,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2006,Percent,0.22072,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2007,Percent,0.22222,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2008,Percent,0.27708,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2009,Percent,0.30707,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2010,Percent,0.36279,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2011,Percent,0.36082,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2012,Percent,0.37131,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2013,Percent,0.41674,SD2
"Stuyvesant Town, Upper E. Side",Students with Disabilities,2014,Percent,0.44971,SD2
Upper West Side,General Education,2005,Percent,0.73365,SD3
Upper West Side,General Education,2006,Percent,0.70479,SD3
Upper West Side,General Education,2007,Percent,0.64546,SD3
Upper West Side,General Education,2008,Percent,0.68052,SD3
Upper West Side,General Education,2009,Percent,0.71334,SD3
Upper West Side,General Education,2010,Percent,0.71272,SD3
Upper West Side,General Education,2011,Percent,0.67667,SD3
Upper West Side,General Education,2012,Percent,0.69646,SD3
Upper West Side,General Education,2013,Percent,0.70157,SD3
Upper West Side,General Education,2014,Percent,0.77074,SD3
Upper West Side,Students with Disabilities,2005,Percent,0.15476,SD3
Upper West Side,Students with Disabilities,2006,Percent,0.2193,SD3
Upper West Side,Students with Disabilities,2007,Percent,0.17347,SD3
Upper West Side,Students with Disabilities,2008,Percent,0.24806,SD3
Upper West Side,Students with Disabilities,2009,Percent,0.22826,SD3
Upper West Side,Students with Disabilities,2010,Percent,0.33766,SD3
Upper West Side,Students with Disabilities,2011,Percent,0.28803,SD3
Upper West Side,Students with Disabilities,2012,Percent,0.27414,SD3
Upper West Side,Students with Disabilities,2013,Percent,0.2972,SD3
Upper West Side,Students with Disabilities,2014,Percent,0.35692,SD3
East Harlem,General Education,2005,Percent,0.64834,SD4
East Harlem,General Education,2006,Percent,0.70281,SD4
East Harlem,General Education,2007,Percent,0.73752,SD4
East Harlem,General Education,2008,Percent,0.73786,SD4
East Harlem,General Education,2009,Percent,0.76036,SD4
East Harlem,General Education,2010,Percent,0.81431,SD4
East Harlem,General Education,2011,Percent,0.74446,SD4
East Harlem,General Education,2012,Percent,0.80253,SD4
East Harlem,General Education,2013,Percent,0.79044,SD4
East Harlem,General Education,2014,Percent,0.84554,SD4
East Harlem,Students with Disabilities,2005,Percent,0.22314,SD4
East Harlem,Students with Disabilities,2006,Percent,0.29348,SD4
East Harlem,Students with Disabilities,2007,Percent,0.2243,SD4
East Harlem,Students with Disabilities,2008,Percent,0.24409,SD4
East Harlem,Students with Disabilities,2009,Percent,0.27684,SD4
East Harlem,Students with Disabilities,2010,Percent,0.30814,SD4
East Harlem,Students with Disabilities,2011,Percent,0.22449,SD4
East Harlem,Students with Disabilities,2012,Percent,0.25455,SD4
East Harlem,Students with Disabilities,2013,Percent,0.36486,SD4
East Harlem,Students with Disabilities,2014,Percent,0.36196,SD4
Central Harlem,General Education,2005,Percent,0.81208,SD5
Central Harlem,General Education,2006,Percent,0.71261,SD5
Central Harlem,General Education,2007,Percent,0.64516,SD5
Central Harlem,General Education,2008,Percent,0.64162,SD5
Central Harlem,General Education,2009,Percent,0.70833,SD5
Central Harlem,General Education,2010,Percent,0.69409,SD5
Central Harlem,General Education,2011,Percent,0.71214,SD5
Central Harlem,General Education,2012,Percent,0.64015,SD5
Central Harlem,General Education,2013,Percent,0.62295,SD5
Central Harlem,General Education,2014,Percent,0.64902,SD5
Central Harlem,Students with Disabilities,2005,Percent,0.15094,SD5
Central Harlem,Students with Disabilities,2006,Percent,0.16364,SD5
Central Harlem,Students with Disabilities,2007,Percent,0.13333,SD5
Central Harlem,Students with Disabilities,2008,Percent,0.18085,SD5
Central Harlem,Students with Disabilities,2009,Percent,0.26316,SD5
Central Harlem,Students with Disabilities,2010,Percent,0.20149,SD5
Central Harlem,Students with Disabilities,2011,Percent,0.22105,SD5
Central Harlem,Students with Disabilities,2012,Percent,0.15166,SD5
Central Harlem,Students with Disabilities,2013,Percent,0.25517,SD5
Central Harlem,Students with Disabilities,2014,Percent,0.30233,SD5
Washington Heights,General Education,2005,Percent,0.66414,SD6
Washington Heights,General Education,2006,Percent,0.54192,SD6
Washington Heights,General Education,2007,Percent,0.69006,SD6
Washington Heights,General Education,2008,Percent,0.68845,SD6
Washington Heights,General Education,2009,Percent,0.77315,SD6
Washington Heights,General Education,2010,Percent,0.72912,SD6
Washington Heights,General Education,2011,Percent,0.69939,SD6
Washington Heights,General Education,2012,Percent,0.66606,SD6
Washington Heights,General Education,2013,Percent,0.62255,SD6
Washington Heights,General Education,2014,Percent,0.64764,SD6
Washington Heights,Students with Disabilities,2005,Percent,0.18018,SD6
Washington Heights,Students with Disabilities,2006,Percent,0.10667,SD6
Washington Heights,Students with Disabilities,2007,Percent,0.14545,SD6
Washington Heights,Students with Disabilities,2008,Percent,0.20395,SD6
Washington Heights,Students with Disabilities,2009,Percent,0.12963,SD6
Washington Heights,Students with Disabilities,2010,Percent,0.2518,SD6
Washington Heights,Students with Disabilities,2011,Percent,0.13333,SD6
Washington Heights,Students with Disabilities,2012,Percent,0.19469,SD6
