"Name","Graduation Rate"
"Description","New York City public high school students who graduated as of June after four years&nbsp;or six years of instruction. Six-year graduation rate data represent graduation rates for the cohort entering 6 years prior to the current school year (e.g. the 2019 six-year graduation rate reflect data for the 2013 cohort).&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","Data represent outcomes by graduation year. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"". CCC used school-level<br />
results to aggregate data to the community-district level."

Location,Total,TimeFrame,DataFormat,Data,Fips
Bronx,Within 4 years,2007,Percent,0.46868,36005
Brooklyn,Within 4 years,2007,Percent,0.51861,36047
Manhattan,Within 4 years,2007,Percent,0.54853,36061
Queens,Within 4 years,2007,Percent,0.56774,36081
Staten Island,Within 4 years,2007,Percent,0.66667,36085
New York City,Within 4 years,2007,Percent,0.52769,3651000
Lower East Side,Within 4 years,2007,Percent,0.54395,SD1
"Riverdale, Kingsbridge, Fordham",Within 4 years,2007,Percent,0.52174,SD10
"Eastchester, Baychester, Co-op City",Within 4 years,2007,Percent,0.49739,SD11
"Crotona Park, Morrisania, Melrose",Within 4 years,2007,Percent,0.39278,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 4 years,2007,Percent,0.73873,SD13
"Williamsburg, Greenpoint",Within 4 years,2007,Percent,0.53689,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 4 years,2007,Percent,0.41235,SD15
Bedford Stuyvesant,Within 4 years,2007,Percent,0.37098,SD16
Crown Heights,Within 4 years,2007,Percent,0.58128,SD17
"East Flatbush, Canarsie",Within 4 years,2007,Percent,0.32476,SD18
East New York,Within 4 years,2007,Percent,0.39789,SD19
"Stuyvesant Town, Upper E. Side",Within 4 years,2007,Percent,0.54562,SD2
"Bay Ridge, Bensonhurst",Within 4 years,2007,Percent,0.53365,SD20
"Gravesend, Coney Island",Within 4 years,2007,Percent,0.51966,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 4 years,2007,Percent,0.65092,SD22
"Brownsville, Ocean Hill",Within 4 years,2007,Percent,0.48198,SD23
"Sunnyside, Woodside, Jackson Hts",Within 4 years,2007,Percent,0.49595,SD24
"Flushing, Whitestone",Within 4 years,2007,Percent,0.5134,SD25
"Bayside, Douglaston, Little Neck",Within 4 years,2007,Percent,0.74545,SD26
"Jamaica, Howard Beach, Rockaways",Within 4 years,2007,Percent,0.421,SD27
"Jamaica, Forest Hills",Within 4 years,2007,Percent,0.64594,SD28
"Queens Village, Rosedale, Hollis",Within 4 years,2007,Percent,0.47423,SD29
Upper West Side,Within 4 years,2007,Percent,0.58618,SD3
"Long Island City, Astoria",Within 4 years,2007,Percent,0.55542,SD30
Staten Island,Within 4 years,2007,Percent,0.67152,SD31
Bushwick,Within 4 years,2007,Percent,0.4917,SD32
East Harlem,Within 4 years,2007,Percent,0.64352,SD4
Central Harlem,Within 4 years,2007,Percent,0.55769,SD5
Washington Heights,Within 4 years,2007,Percent,0.61989,SD6
Mott Haven,Within 4 years,2007,Percent,0.53144,SD7
"Hunts Point, Port Morris",Within 4 years,2007,Percent,0.3799,SD8
"East Tremont, Morris Heights",Within 4 years,2007,Percent,0.47929,SD9
Bronx,Within 6 years,2007,Percent,0.55531,36005
Brooklyn,Within 6 years,2007,Percent,0.6156,36047
Manhattan,Within 6 years,2007,Percent,0.69203,36061
Queens,Within 6 years,2007,Percent,0.66769,36081
Staten Island,Within 6 years,2007,Percent,0.74199,36085
New York City,Within 6 years,2007,Percent,0.58469,3651000
Lower East Side,Within 6 years,2007,Percent,0.75,SD1
"Riverdale, Kingsbridge, Fordham",Within 6 years,2007,Percent,0.59151,SD10
"Eastchester, Baychester, Co-op City",Within 6 years,2007,Percent,0.53927,SD11
"Crotona Park, Morrisania, Melrose",Within 6 years,2007,Percent,0.525,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 years,2007,Percent,0.83637,SD13
"Williamsburg, Greenpoint",Within 6 years,2007,Percent,0.57757,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 years,2007,Percent,0.6201,SD15
Bedford Stuyvesant,Within 6 years,2007,Percent,0.51603,SD16
Crown Heights,Within 6 years,2007,Percent,0.60597,SD17
"East Flatbush, Canarsie",Within 6 years,2007,Percent,0.49021,SD18
East New York,Within 6 years,2007,Percent,0.47977,SD19
"Stuyvesant Town, Upper E. Side",Within 6 years,2007,Percent,0.69127,SD2
"Bay Ridge, Bensonhurst",Within 6 years,2007,Percent,0.6218,SD20
"Gravesend, Coney Island",Within 6 years,2007,Percent,0.64899,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 years,2007,Percent,0.72803,SD22
"Brownsville, Ocean Hill",Within 6 years,2007,Percent,0.40559,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 years,2007,Percent,0.65149,SD24
"Flushing, Whitestone",Within 6 years,2007,Percent,0.66255,SD25
"Bayside, Douglaston, Little Neck",Within 6 years,2007,Percent,0.80062,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 years,2007,Percent,0.54562,SD27
"Jamaica, Forest Hills",Within 6 years,2007,Percent,0.73222,SD28
"Queens Village, Rosedale, Hollis",Within 6 years,2007,Percent,0.54229,SD29
Upper West Side,Within 6 years,2007,Percent,0.74083,SD3
"Long Island City, Astoria",Within 6 years,2007,Percent,0.65236,SD30
Staten Island,Within 6 years,2007,Percent,0.74778,SD31
Bushwick,Within 6 years,2007,Percent,0.45526,SD32
East Harlem,Within 6 years,2007,Percent,0.72216,SD4
Central Harlem,Within 6 years,2007,Percent,0.76731,SD5
Washington Heights,Within 6 years,2007,Percent,0.69468,SD6
Mott Haven,Within 6 years,2007,Percent,0.60503,SD7
"Hunts Point, Port Morris",Within 6 years,2007,Percent,0.58763,SD8
"East Tremont, Morris Heights",Within 6 years,2007,Percent,0.43022,SD9
Bronx,Within 4 years,2008,Percent,0.51852,36005
Brooklyn,Within 4 years,2008,Percent,0.5504,36047
Manhattan,Within 4 years,2008,Percent,0.58042,36061
Queens,Within 4 years,2008,Percent,0.58328,36081
Staten Island,Within 4 years,2008,Percent,0.6731,36085
New York City,Within 4 years,2008,Percent,0.56411,3651000
Lower East Side,Within 4 years,2008,Percent,0.62169,SD1
"Riverdale, Kingsbridge, Fordham",Within 4 years,2008,Percent,0.57846,SD10
"Eastchester, Baychester, Co-op City",Within 4 years,2008,Percent,0.57774,SD11
"Crotona Park, Morrisania, Melrose",Within 4 years,2008,Percent,0.43266,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 4 years,2008,Percent,0.76887,SD13
"Williamsburg, Greenpoint",Within 4 years,2008,Percent,0.6165,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 4 years,2008,Percent,0.46388,SD15
Bedford Stuyvesant,Within 4 years,2008,Percent,0.405,SD16
Crown Heights,Within 4 years,2008,Percent,0.59762,SD17
"East Flatbush, Canarsie",Within 4 years,2008,Percent,0.32381,SD18
East New York,Within 4 years,2008,Percent,0.42832,SD19
"Stuyvesant Town, Upper E. Side",Within 4 years,2008,Percent,0.58401,SD2
"Bay Ridge, Bensonhurst",Within 4 years,2008,Percent,0.56315,SD20
"Gravesend, Coney Island",Within 4 years,2008,Percent,0.52763,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 4 years,2008,Percent,0.66822,SD22
"Brownsville, Ocean Hill",Within 4 years,2008,Percent,0.6129,SD23
"Sunnyside, Woodside, Jackson Hts",Within 4 years,2008,Percent,0.54321,SD24
"Flushing, Whitestone",Within 4 years,2008,Percent,0.57343,SD25
"Bayside, Douglaston, Little Neck",Within 4 years,2008,Percent,0.75223,SD26
"Jamaica, Howard Beach, Rockaways",Within 4 years,2008,Percent,0.42828,SD27
"Jamaica, Forest Hills",Within 4 years,2008,Percent,0.6346,SD28
"Queens Village, Rosedale, Hollis",Within 4 years,2008,Percent,0.58586,SD29
Upper West Side,Within 4 years,2008,Percent,0.62526,SD3
"Long Island City, Astoria",Within 4 years,2008,Percent,0.54434,SD30
Staten Island,Within 4 years,2008,Percent,0.67755,SD31
Bushwick,Within 4 years,2008,Percent,0.51499,SD32
East Harlem,Within 4 years,2008,Percent,0.63577,SD4
Central Harlem,Within 4 years,2008,Percent,0.57196,SD5
Washington Heights,Within 4 years,2008,Percent,0.60328,SD6
Mott Haven,Within 4 years,2008,Percent,0.531,SD7
"Hunts Point, Port Morris",Within 4 years,2008,Percent,0.40077,SD8
"East Tremont, Morris Heights",Within 4 years,2008,Percent,0.60074,SD9
Bronx,Within 6 years,2008,Percent,0.57879,36005
Brooklyn,Within 6 years,2008,Percent,0.62947,36047
Manhattan,Within 6 years,2008,Percent,0.68967,36061
Queens,Within 6 years,2008,Percent,0.67233,36081
Staten Island,Within 6 years,2008,Percent,0.74069,36085
New York City,Within 6 years,2008,Percent,0.61826,3651000
Lower East Side,Within 6 years,2008,Percent,0.71654,SD1
"Riverdale, Kingsbridge, Fordham",Within 6 years,2008,Percent,0.59878,SD10
"Eastchester, Baychester, Co-op City",Within 6 years,2008,Percent,0.58046,SD11
"Crotona Park, Morrisania, Melrose",Within 6 years,2008,Percent,0.53221,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 years,2008,Percent,0.84119,SD13
"Williamsburg, Greenpoint",Within 6 years,2008,Percent,0.63959,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 years,2008,Percent,0.58772,SD15
Bedford Stuyvesant,Within 6 years,2008,Percent,0.55319,SD16
Crown Heights,Within 6 years,2008,Percent,0.61909,SD17
"East Flatbush, Canarsie",Within 6 years,2008,Percent,0.47403,SD18
East New York,Within 6 years,2008,Percent,0.49661,SD19
"Stuyvesant Town, Upper E. Side",Within 6 years,2008,Percent,0.69647,SD2
"Bay Ridge, Bensonhurst",Within 6 years,2008,Percent,0.63994,SD20
"Gravesend, Coney Island",Within 6 years,2008,Percent,0.65607,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 years,2008,Percent,0.74596,SD22
"Brownsville, Ocean Hill",Within 6 years,2008,Percent,0.56,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 years,2008,Percent,0.64704,SD24
"Flushing, Whitestone",Within 6 years,2008,Percent,0.61356,SD25
"Bayside, Douglaston, Little Neck",Within 6 years,2008,Percent,0.81318,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 years,2008,Percent,0.57122,SD27
"Jamaica, Forest Hills",Within 6 years,2008,Percent,0.74768,SD28
"Queens Village, Rosedale, Hollis",Within 6 years,2008,Percent,0.58175,SD29
Upper West Side,Within 6 years,2008,Percent,0.74986,SD3
"Long Island City, Astoria",Within 6 years,2008,Percent,0.6521,SD30
Staten Island,Within 6 years,2008,Percent,0.74658,SD31
Bushwick,Within 6 years,2008,Percent,0.5218,SD32
East Harlem,Within 6 years,2008,Percent,0.74053,SD4
Central Harlem,Within 6 years,2008,Percent,0.69471,SD5
Washington Heights,Within 6 years,2008,Percent,0.61704,SD6
Mott Haven,Within 6 years,2008,Percent,0.64646,SD7
"Hunts Point, Port Morris",Within 6 years,2008,Percent,0.56331,SD8
