"Name","Infant Mortality by Race"
"Description","Deaths of infants under 1 year per 1,000 live births by maternal race/ethnicity."
"Source Notes","New York City Department of Health and Mental Hygiene, Bureau of Vital Statistics, Summary of Vital Statistics (2000-2017); retrieved from&nbsp;<a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/vs/2015sum.pdf""></a><a href=""http://https//www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page"" target=""_blank""><a href=""https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page"" target=""_blank"">https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page</a></a><a href=""https://a816-healthpsi.nyc.gov/epiquery/""></a><a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/vs/2015sum.pdf""></a>"
"Notes","The IMR for Hispanic babies is calculated by CCC by combining Vital Statistics data for Puerto Rican and Other Hispanic respondents.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Asian,2000,Rate,3.9,3651000
New York City,Asian,2001,Rate,3.1,3651000
New York City,Asian,2002,Rate,2.5,3651000
New York City,Asian,2003,Rate,3.5,3651000
New York City,Asian,2004,Rate,4.1,3651000
New York City,Asian,2005,Rate,3.7,3651000
New York City,Asian,2006,Rate,3.6,3651000
New York City,Asian,2007,Rate,3.1,3651000
New York City,Asian,2008,Rate,3.2,3651000
New York City,Asian,2009,Rate,2.8,3651000
New York City,Asian,2010,Rate,3.4,3651000
New York City,Asian,2011,Rate,2.9,3651000
New York City,Asian,2012,Rate,3.3,3651000
New York City,Asian,2013,Rate,3.1,3651000
New York City,Asian,2014,Rate,2.6,3651000
New York City,Asian,2015,Rate,2.6,3651000
New York City,Black,2000,Rate,11.1,3651000
New York City,Black,2001,Rate,10,3651000
New York City,Black,2002,Rate,10.1,3651000
New York City,Black,2003,Rate,11.3,3651000
New York City,Black,2004,Rate,11.6,3651000
New York City,Black,2005,Rate,9.7,3651000
New York City,Black,2006,Rate,10.5,3651000
New York City,Black,2007,Rate,9.8,3651000
New York City,Black,2008,Rate,10.2,3651000
New York City,Black,2009,Rate,9.5,3651000
New York City,Black,2010,Rate,8.6,3651000
New York City,Black,2011,Rate,8.1,3651000
New York City,Black,2012,Rate,8.5,3651000
New York City,Black,2013,Rate,8.3,3651000
New York City,Black,2014,Rate,7.5,3651000
New York City,Black,2015,Rate,8,3651000
New York City,White,2000,Rate,4.5,3651000
New York City,White,2001,Rate,4.2,3651000
New York City,White,2002,Rate,4.1,3651000
New York City,White,2003,Rate,3.8,3651000
New York City,White,2004,Rate,3.5,3651000
New York City,White,2005,Rate,4.8,3651000
New York City,White,2006,Rate,3.8,3651000
New York City,White,2007,Rate,3.9,3651000
New York City,White,2008,Rate,3.3,3651000
New York City,White,2009,Rate,3.4,3651000
New York City,White,2010,Rate,2.8,3651000
New York City,White,2011,Rate,3.1,3651000
New York City,White,2012,Rate,2.7,3651000
New York City,White,2013,Rate,3,3651000
New York City,White,2014,Rate,2.6,3651000
New York City,White,2015,Rate,2.7,3651000
New York City,Hispanic,2000,Rate,5.90424,3651000
New York City,Hispanic,2001,Rate,5.60315,3651000
New York City,Hispanic,2002,Rate,5.83857,3651000
New York City,Hispanic,2003,Rate,6.16213,3651000
New York City,Hispanic,2004,Rate,5.25152,3651000
New York City,Hispanic,2005,Rate,5.50067,3651000
New York City,Hispanic,2006,Rate,5.5183,3651000
New York City,Hispanic,2007,Rate,4.76518,3651000
New York City,Hispanic,2008,Rate,5.22536,3651000
New York City,Hispanic,2009,Rate,5.21273,3651000
New York City,Hispanic,2010,Rate,4.82908,3651000
New York City,Hispanic,2011,Rate,4.91616,3651000
New York City,Hispanic,2012,Rate,5.18531,3651000
New York City,Hispanic,2013,Rate,4.44057,3651000
New York City,Hispanic,2014,Rate,4.85273,3651000
New York City,Hispanic,2015,Rate,4.6407,3651000
New York City,Asian,2016,Rate,2.9,3651000
New York City,White,2016,Rate,2.6,3651000
New York City,Black,2016,Rate,8,3651000
New York City,Hispanic,2016,Rate,3.69783,3651000
New York City,Asian,2017,Rate,3.4,3651000
New York City,White,2017,Rate,2.4,3651000
New York City,Black,2017,Rate,7.8,3651000
New York City,Hispanic,2017,Rate,4.71698,3651000
