"Name","Median Incomes"
"Description","Median household income."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table S1903 (2005-2019); retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","Dollar amounts for all years adjusted to 2019 dollars using the average Consumer Price Index Research Series Using Current Methods (CPI-U-RS) for all urban consumers, all goods, for New York-Northern New Jersey-Long Island, NY-NJ-CT-PA. CPI; retrieved from <a target=""_blank"" href=""http://www.bls.gov/data/"">http://www.bls.gov/data/</a>. <br />
<br />
Some of the median incomes reported by the Census have been ""top-coded"" into the highest standard deviation category. For years 2009 and later, the <g class=""gr_ gr_9 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace"" id=""9"" data-gr-id=""9"">topcoded</g> amount for household income was $250,000 (in current year dollars). Prior to 2009, the <g class=""gr_ gr_10 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace"" id=""10"" data-gr-id=""10"">topcoded</g> amount was $200,000 (in current year dollars). Due to adjustment for inflation, some incomes displayed for prior years may exceed that year's <g class=""gr_ gr_11 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace"" id=""11"" data-gr-id=""11"">topcoded</g> amount.<br />
<br />"

Location,Household Type,TimeFrame,DataFormat,Data,Fips
Riverdale,All Households,2005,Dollars,63435.46009,208
Williamsbridge,All Households,2005,Dollars,52141.77239,212
Throgs Neck,All Households,2005,Dollars,57712.50261,210
Pelham Parkway,All Households,2005,Dollars,52782.17672,211
Morrisania,All Households,2005,Dollars,24589.9512,203
East Tremont,All Households,2005,Dollars,24589.9512,206
Bedford Park,All Households,2005,Dollars,38340.27187,207
University Heights,All Households,2005,Dollars,25435.07494,205
Concourse/Highbridge,All Households,2005,Dollars,27243.42977,204
Unionport/Soundview,All Households,2005,Dollars,44489.72813,209
Mott Haven,All Households,2005,Dollars,18237.08784,201
Hunts Point,All Households,2005,Dollars,18237.08784,202
Washington Heights,All Households,2005,Dollars,41693.20843,112
Manhattanville,All Households,2005,Dollars,36697.26734,109
Central Harlem,All Households,2005,Dollars,35109.37957,110
East Harlem,All Households,2005,Dollars,35344.28198,111
Upper East Side,All Households,2005,Dollars,108675.82607,108
Upper West Side,All Households,2005,Dollars,110371.32276,107
Chelsea/Clinton,All Households,2005,Dollars,92627.66121,104
Midtown Business District,All Households,2005,Dollars,92627.66121,105
Murray Hill/Stuyvesant,All Households,2005,Dollars,113032.67515,106
Lower East Side,All Households,2005,Dollars,42064.59045,103
Battery Park/Tribeca,All Households,2005,Dollars,121990.46183,101
Greenwich Village,All Households,2005,Dollars,121990.46183,102
Tottenville,All Households,2005,Dollars,105416.06309,503
South Beach,All Households,2005,Dollars,78082.08435,502
