"Name","Median Monthly Rent"
"Description","Median contract (or asking) rent for rental households."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B25058 (2005-2019); retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","Dollar amounts for all years adjusted to constant 2019 dollars using the Consumer Price Index Research Series Using Current Methods (CPI-U-RS) for all items; retrieved from <a href=""https://www.bls.gov/cpi/research-series/home.htm"" target=""_blank"">https://www.bls.gov/cpi/research-series/home.htm</a>.&nbsp;<br />
Some of the median rents reported by the Census have been ""top-coded"" into the highest standard deviation category; instances that fall into this category have been labeled as ""Topcoded."" The topcoded amount for median rent is $2,000 (in current year dollars). Due to adjustment for inflation, some rents displayed for prior years may exceed the topcoded amount."

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2005,Dollars,2230.9167,101
Greenwich Village,2005,Dollars,2230.9167,102
Lower East Side,2005,Dollars,832.0007,103
Chelsea/Clinton,2005,Dollars,1813.60404,104
Midtown Business District,2005,Dollars,1813.60404,105
Murray Hill/Stuyvesant,2005,Dollars,1925.14988,106
Upper West Side,2005,Dollars,1465.8435,107
Upper East Side,2005,Dollars,1956.64517,108
Manhattanville,2005,Dollars,862.18369,109
Central Harlem,2005,Dollars,793.94388,110
East Harlem,2005,Dollars,751.95016,111
Washington Heights,2005,Dollars,939.60962,112
Mott Haven,2005,Dollars,601.0352,201
Hunts Point,2005,Dollars,601.0352,202
Morrisania,2005,Dollars,736.20251,203
Concourse/Highbridge,2005,Dollars,849.06065,204
University Heights,2005,Dollars,888.42977,205
East Tremont,2005,Dollars,736.20251,206
Bedford Park,2005,Dollars,973.72952,207
Riverdale,2005,Dollars,1052.46776,208
Unionport/Soundview,2005,Dollars,961.91879,209
Throgs Neck,2005,Dollars,957.98188,210
Pelham Parkway,2005,Dollars,1023.59707,211
Williamsbridge,2005,Dollars,1019.66016,212
Williamsburg/Greenpoint,2005,Dollars,959.29418,301
Fort Greene/Brooklyn Hts,2005,Dollars,1030.15859,302
Bedford Stuyvesant,2005,Dollars,822.81457,303
Bushwick,2005,Dollars,892.36668,304
East New York,2005,Dollars,904.17741,305
Park Slope,2005,Dollars,1607.57232,306
Sunset Park,2005,Dollars,1059.02928,307
Crown Heights North,2005,Dollars,975.04183,308
Crown Heights South,2005,Dollars,1027.53398,309
Bay Ridge,2005,Dollars,1131.206,310
Bensonhurst,2005,Dollars,1090.52457,311
Borough Park,2005,Dollars,1131.206,312
Coney Island,2005,Dollars,846.43604,313
Flatbush/Midwood,2005,Dollars,1094.46148,314
Sheepshead Bay,2005,Dollars,1103.64761,315
Brownsville,2005,Dollars,711.26873,316
East Flatbush,2005,Dollars,1083.96305,317
Canarsie,2005,Dollars,1166.6382,318
Astoria,2005,Dollars,1209.94423,401
Sunnyside/Woodside,2005,Dollars,1244.06413,402
Jackson Heights,2005,Dollars,1268.99791,403
Elmhurst/Corona,2005,Dollars,1261.12409,404
Ridgewood/Glendale,2005,Dollars,1228.31649,405
Rego Park/Forest Hills,2005,Dollars,1288.68247,406
Flushing,2005,Dollars,1321.49007,407
Fresh Meadows/Briarwood,2005,Dollars,1203.38271,408
Woodhaven,2005,Dollars,1211.25654,409
Howard Beach,2005,Dollars,1356.92227,410
Bayside,2005,Dollars,1476.34193,411
Jamaica/St. Albans,2005,Dollars,1081.33845,412
Queens Village,2005,Dollars,1392.35448,413
The Rockaways,2005,Dollars,929.11119,414
St. George,2005,Dollars,1086.58766,501
South Beach,2005,Dollars,1175.82433,502
Tottenville,2005,Dollars,1171.88742,503
Bronx,2005,Dollars,908.11433,36005
Brooklyn,2005,Dollars,1034.0955,36047
Manhattan,2005,Dollars,1245.37644,36061
Queens,2005,Dollars,1236.19031,36081
Staten Island,2005,Dollars,1133.8306,36085
New York City,2005,Dollars,1083.96305,3651000
Battery Park/Tribeca,2006,Dollars,2149.43113,101
Greenwich Village,2006,Dollars,2149.43113,102
Lower East Side,2006,Dollars,910.10804,103
Chelsea/Clinton,2006,Dollars,1719.79912,104
Midtown Business District,2006,Dollars,1719.79912,105
Murray Hill/Stuyvesant,2006,Dollars,1937.15733,106
Upper West Side,2006,Dollars,1613.02667,107
Upper East Side,2006,Dollars,1946.05503,108
Manhattanville,2006,Dollars,894.85483,109
Central Harlem,2006,Dollars,765.20257,110
East Harlem,2006,Dollars,672.41222,111
Washington Heights,2006,Dollars,929.17454,112
Mott Haven,2006,Dollars,683.85213,201
Hunts Point,2006,Dollars,683.85213,202
Morrisania,2006,Dollars,776.64247,203
Concourse/Highbridge,2006,Dollars,864.34841,204
University Heights,2006,Dollars,912.65024,205
East Tremont,2006,Dollars,776.64247,206
Bedford Park,2006,Dollars,995.27178,207
Riverdale,2006,Dollars,1072.80891,208
Unionport/Soundview,2006,Dollars,983.83187,209
Throgs Neck,2006,Dollars,1043.5736,210
Pelham Parkway,2006,Dollars,990.18737,211
Williamsbridge,2006,Dollars,1047.3869,212
Williamsburg/Greenpoint,2006,Dollars,913.92134,301
Fort Greene/Brooklyn Hts,2006,Dollars,1099.50203,302
Bedford Stuyvesant,2006,Dollars,810.96219,303
Bushwick,2006,Dollars,927.90344,304
East New York,2006,Dollars,1018.15159,305
Park Slope,2006,Dollars,1591.41796,306
Sunset Park,2006,Dollars,1109.67083,307
Crown Heights North,2006,Dollars,960.95206,308
Crown Heights South,2006,Dollars,1018.15159,309
Bay Ridge,2006,Dollars,1191.02127,310
Bensonhurst,2006,Dollars,1132.55064,311
Borough Park,2006,Dollars,1103.31533,312
Coney Island,2006,Dollars,837.6553,313
Flatbush/Midwood,2006,Dollars,1062.64011,314
Sheepshead Bay,2006,Dollars,1043.5736,315
Brownsville,2006,Dollars,739.78055,316
East Flatbush,2006,Dollars,1070.26671,317
Canarsie,2006,Dollars,1165.59926,318
Astoria,2006,Dollars,1215.17218,401
Sunnyside/Woodside,2006,Dollars,1258.3896,402
Jackson Heights,2006,Dollars,1238.05199,403
Elmhurst/Corona,2006,Dollars,1278.72721,404
Ridgewood/Glendale,2006,Dollars,1213.90108,405
Rego Park/Forest Hills,2006,Dollars,1357.53545,406
Flushing,2006,Dollars,1368.97535,407
Fresh Meadows/Briarwood,2006,Dollars,1266.01621,408
Woodhaven,2006,Dollars,1281.26941,409
Howard Beach,2006,Dollars,1330.84234,410
