"Name","SNAP (Food Stamps) by Cash Assistance Receipt"
"Description","Recipients of SNAP by Cash Assistance status.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - CA Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9</a>"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
&nbsp;Percentages presented by Cash Assistance Receipt refer to the number of individuals receiving SNAP.&nbsp;<br />
*CCC is in the process of filling in data for missing years.&nbsp;<br />"

Location,Cash Assistance Receipt,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Receives Cash Assistance,2001,Number,604,101
Battery Park/Tribeca,Receives Cash Assistance,2002,Number,598,101
Greenwich Village,Receives Cash Assistance,2001,Number,1010,102
Greenwich Village,Receives Cash Assistance,2002,Number,851,102
Lower East Side,Receives Cash Assistance,2001,Number,7279,103
Lower East Side,Receives Cash Assistance,2002,Number,6779,103
Chelsea/Clinton,Receives Cash Assistance,2001,Number,2554,104
Chelsea/Clinton,Receives Cash Assistance,2002,Number,2602,104
Midtown Business District,Receives Cash Assistance,2001,Number,1497,105
Midtown Business District,Receives Cash Assistance,2002,Number,1509,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2001,Number,913,106
Murray Hill/Stuyvesant,Receives Cash Assistance,2002,Number,866,106
Upper West Side,Receives Cash Assistance,2001,Number,5382,107
Upper West Side,Receives Cash Assistance,2002,Number,5031,107
Upper East Side,Receives Cash Assistance,2001,Number,853,108
Upper East Side,Receives Cash Assistance,2002,Number,794,108
Manhattanville,Receives Cash Assistance,2001,Number,9801,109
Manhattanville,Receives Cash Assistance,2002,Number,8464,109
Central Harlem,Receives Cash Assistance,2001,Number,13581,110
Central Harlem,Receives Cash Assistance,2002,Number,11665,110
East Harlem,Receives Cash Assistance,2001,Number,14932,111
East Harlem,Receives Cash Assistance,2002,Number,13412,111
Washington Heights,Receives Cash Assistance,2001,Number,16773,112
Washington Heights,Receives Cash Assistance,2002,Number,14421,112
Mott Haven,Receives Cash Assistance,2001,Number,15622,201
Mott Haven,Receives Cash Assistance,2002,Number,14702,201
Hunts Point,Receives Cash Assistance,2001,Number,8355,202
Hunts Point,Receives Cash Assistance,2002,Number,8008,202
Morrisania,Receives Cash Assistance,2001,Number,13552,203
Morrisania,Receives Cash Assistance,2002,Number,12626,203
Concourse/Highbridge,Receives Cash Assistance,2001,Number,22153,204
Concourse/Highbridge,Receives Cash Assistance,2002,Number,20849,204
University Heights,Receives Cash Assistance,2001,Number,22576,205
University Heights,Receives Cash Assistance,2002,Number,21964,205
East Tremont,Receives Cash Assistance,2001,Number,14889,206
East Tremont,Receives Cash Assistance,2002,Number,14036,206
Bedford Park,Receives Cash Assistance,2001,Number,17240,207
Bedford Park,Receives Cash Assistance,2002,Number,15875,207
Riverdale,Receives Cash Assistance,2001,Number,3985,208
Riverdale,Receives Cash Assistance,2002,Number,3641,208
Unionport/Soundview,Receives Cash Assistance,2001,Number,16955,209
