"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Households,2001,Number,906,101
Battery Park/Tribeca,Households,2002,Number,935,101
Greenwich Village,Households,2001,Number,2136,102
Greenwich Village,Households,2002,Number,2199,102
Lower East Side,Households,2001,Number,8739,103
Lower East Side,Households,2002,Number,10194,103
Chelsea/Clinton,Households,2001,Number,3837,104
Chelsea/Clinton,Households,2002,Number,4157,104
Midtown Business District,Households,2001,Number,2147,105
Midtown Business District,Households,2002,Number,2226,105
Murray Hill/Stuyvesant,Households,2001,Number,1563,106
Murray Hill/Stuyvesant,Households,2002,Number,1674,106
Upper West Side,Households,2001,Number,7212,107
Upper West Side,Households,2002,Number,7415,107
Upper East Side,Households,2001,Number,1689,108
Upper East Side,Households,2002,Number,1887,108
Manhattanville,Households,2001,Number,8885,109
Manhattanville,Households,2002,Number,8998,109
Central Harlem,Households,2001,Number,10728,110
Central Harlem,Households,2002,Number,10621,110
East Harlem,Households,2001,Number,10422,111
East Harlem,Households,2002,Number,11787,111
Washington Heights,Households,2001,Number,20623,112
Washington Heights,Households,2002,Number,20734,112
Mott Haven,Households,2001,Number,9765,201
Mott Haven,Households,2002,Number,10154,201
Hunts Point,Households,2001,Number,5401,202
Hunts Point,Households,2002,Number,5604,202
Morrisania,Households,2001,Number,8396,203
Morrisania,Households,2002,Number,8634,203
Concourse/Highbridge,Households,2001,Number,14687,204
Concourse/Highbridge,Households,2002,Number,15148,204
University Heights,Households,2001,Number,14260,205
University Heights,Households,2002,Number,14673,205
East Tremont,Households,2001,Number,9063,206
East Tremont,Households,2002,Number,9308,206
Bedford Park,Households,2001,Number,11447,207
Bedford Park,Households,2002,Number,11692,207
Riverdale,Households,2001,Number,3578,208
Riverdale,Households,2002,Number,3676,208
Unionport/Soundview,Households,2001,Number,10319,209
Unionport/Soundview,Households,2002,Number,12741,209
