"Name","Student Economic Status"
"Description","""Poverty"" counts are based on the number of students with families who have qualified for free or reduced price lunch, or are eligible for Human Resources Administration (HRA) benefits.&nbsp;"
"Source Notes","New York City Department of Education, Demographic Snapshots (School Years 2014-15 to 2019-20); retrieved from&nbsp;<a href=""http://schools.nyc.gov/AboutUs/schools/data/default.htm"" target=""_blank"">http://schools.nyc.gov/AboutUs/schools/data/default.htm</a>"
"Notes","Percents refer to the percent of total enrollment."

Location,TimeFrame,DataFormat,Data,Fips
Lower East Side,2015,Number,7911,SD1
"Stuyvesant Town, Upper E. Side",2015,Number,34361,SD2
Upper West Side,2015,Number,11688,SD3
East Harlem,2015,Number,11433,SD4
Central Harlem,2015,Number,10677,SD5
Washington Heights,2015,Number,20945,SD6
Mott Haven,2015,Number,18947,SD7
"Hunts Point, Port Morris",2015,Number,23923,SD8
"East Tremont, Morris Heights",2015,Number,33824,SD9
"Riverdale, Kingsbridge, Fordham",2015,Number,47168,SD10
"Eastchester, Baychester, Co-op City",2015,Number,30495,SD11
"Crotona Park, Morrisania, Melrose",2015,Number,22277,SD12
"Brooklyn Hts, Downtown Brooklyn",2015,Number,15219,SD13
"Williamsburg, Greenpoint",2015,Number,14780,SD14
"S. Brooklyn, Park Slope, Sunset Park",2015,Number,18275,SD15
Bedford Stuyvesant,2015,Number,6763,SD16
Crown Heights,2015,Number,20584,SD17
"East Flatbush, Canarsie",2015,Number,13560,SD18
East New York,2015,Number,20354,SD19
"Bay Ridge, Bensonhurst",2015,Number,37923,SD20
"Gravesend, Coney Island",2015,Number,24658,SD21
"Flatbush, Midwood, Sheepshead Bay",2015,Number,23228,SD22
"Brownsville, Ocean Hill",2015,Number,9158,SD23
"Sunnyside, Woodside, Jackson Hts",2015,Number,43368,SD24
"Flushing, Whitestone",2015,Number,26126,SD25
"Bayside, Douglaston, Little Neck",2015,Number,18439,SD26
"Jamaica, Howard Beach, Rockaways",2015,Number,35352,SD27
"Jamaica, Forest Hills",2015,Number,28212,SD28
"Queens Village, Rosedale, Hollis",2015,Number,20967,SD29
"Long Island City, Astoria",2015,Number,29237,SD30
Staten Island,2015,Number,34614,SD31
Bushwick,2015,Number,12086,SD32
Bronx,2015,Number,198620,36005
Brooklyn,2015,Number,247938,36047
Manhattan,2015,Number,116173,36061
Queens,2015,Number,211229,36081
Staten Island,2015,Number,36728,36085
New York City,2015,Number,810688,3651000
Lower East Side,2016,Number,7556,SD1
"Stuyvesant Town, Upper E. Side",2016,Number,33540,SD2
Upper West Side,2016,Number,11137,SD3
East Harlem,2016,Number,11188,SD4
Central Harlem,2016,Number,10186,SD5
Washington Heights,2016,Number,20288,SD6
Mott Haven,2016,Number,18863,SD7
"Hunts Point, Port Morris",2016,Number,23152,SD8
"East Tremont, Morris Heights",2016,Number,33595,SD9
"Riverdale, Kingsbridge, Fordham",2016,Number,46779,SD10
"Eastchester, Baychester, Co-op City",2016,Number,29945,SD11
"Crotona Park, Morrisania, Melrose",2016,Number,21956,SD12
"Brooklyn Hts, Downtown Brooklyn",2016,Number,14297,SD13
