"Name","Total Population by Age Group"
"Description","Total population by age group."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Tables: B01003, B01001 and B09001&nbsp;(2005-2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>.&nbsp;"
"Notes","Percents refer to the percent of the total population."

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Adults 25 Years and Older,2005,Number,42296.18297,101
Battery Park/Tribeca,Adults 25 Years and Older,2005,Percent,0.8269,101
Battery Park/Tribeca,Children Under 18 Years,2005,Number,5869.46668,101
Battery Park/Tribeca,Children Under 18 Years,2005,Percent,0.11475,101
Battery Park/Tribeca,Youth 18 to 24 Years,2005,Number,2984.80998,101
Battery Park/Tribeca,Youth 18 to 24 Years,2005,Percent,0.05835,101
Greenwich Village,Adults 25 Years and Older,2005,Number,62437.81703,102
Greenwich Village,Adults 25 Years and Older,2005,Percent,0.8269,102
Greenwich Village,Children Under 18 Years,2005,Number,8664.53332,102
Greenwich Village,Children Under 18 Years,2005,Percent,0.11475,102
Greenwich Village,Youth 18 to 24 Years,2005,Number,4406.19002,102
Greenwich Village,Youth 18 to 24 Years,2005,Percent,0.05835,102
Lower East Side,Adults 25 Years and Older,2005,Number,110077,103
Lower East Side,Adults 25 Years and Older,2005,Percent,0.75625,103
Lower East Side,Children Under 18 Years,2005,Number,24408,103
Lower East Side,Children Under 18 Years,2005,Percent,0.16769,103
Lower East Side,Youth 18 to 24 Years,2005,Number,11071,103
Lower East Side,Youth 18 to 24 Years,2005,Percent,0.07606,103
Chelsea/Clinton,Adults 25 Years and Older,2005,Number,75140.83102,104
Chelsea/Clinton,Adults 25 Years and Older,2005,Percent,0.84662,104
Chelsea/Clinton,Children Under 18 Years,2005,Number,6957.06474,104
Chelsea/Clinton,Children Under 18 Years,2005,Percent,0.07839,104
Chelsea/Clinton,Youth 18 to 24 Years,2005,Number,6656.49608,104
Chelsea/Clinton,Youth 18 to 24 Years,2005,Percent,0.075,104
Midtown Business District,Adults 25 Years and Older,2005,Number,37607.16898,105
Midtown Business District,Adults 25 Years and Older,2005,Percent,0.84662,105
Midtown Business District,Children Under 18 Years,2005,Number,3481.93526,105
Midtown Business District,Children Under 18 Years,2005,Percent,0.07839,105
Midtown Business District,Youth 18 to 24 Years,2005,Number,3331.50392,105
Midtown Business District,Youth 18 to 24 Years,2005,Percent,0.075,105
Murray Hill/Stuyvesant,Adults 25 Years and Older,2005,Number,126135,106
Murray Hill/Stuyvesant,Adults 25 Years and Older,2005,Percent,0.86235,106
Murray Hill/Stuyvesant,Children Under 18 Years,2005,Number,13075,106
Murray Hill/Stuyvesant,Children Under 18 Years,2005,Percent,0.08939,106
Murray Hill/Stuyvesant,Youth 18 to 24 Years,2005,Number,7059,106
Murray Hill/Stuyvesant,Youth 18 to 24 Years,2005,Percent,0.04826,106
Upper West Side,Adults 25 Years and Older,2005,Number,167308,107
Upper West Side,Adults 25 Years and Older,2005,Percent,0.80164,107
Upper West Side,Children Under 18 Years,2005,Number,33561,107
Upper West Side,Children Under 18 Years,2005,Percent,0.1608,107
Upper West Side,Youth 18 to 24 Years,2005,Number,7839,107
Upper West Side,Youth 18 to 24 Years,2005,Percent,0.03756,107
Upper East Side,Adults 25 Years and Older,2005,Number,171346,108
Upper East Side,Adults 25 Years and Older,2005,Percent,0.80929,108
Upper East Side,Children Under 18 Years,2005,Number,30729,108
Upper East Side,Children Under 18 Years,2005,Percent,0.14514,108
Upper East Side,Youth 18 to 24 Years,2005,Number,9649,108
Upper East Side,Youth 18 to 24 Years,2005,Percent,0.04557,108
Manhattanville,Adults 25 Years and Older,2005,Number,79504,109
Manhattanville,Adults 25 Years and Older,2005,Percent,0.69493,109
Manhattanville,Children Under 18 Years,2005,Number,25142,109
Manhattanville,Children Under 18 Years,2005,Percent,0.21976,109
Manhattanville,Youth 18 to 24 Years,2005,Number,9759,109
Manhattanville,Youth 18 to 24 Years,2005,Percent,0.0853,109
Central Harlem,Adults 25 Years and Older,2005,Number,72997,110
Central Harlem,Adults 25 Years and Older,2005,Percent,0.6171,110
Central Harlem,Children Under 18 Years,2005,Number,34032,110
Central Harlem,Children Under 18 Years,2005,Percent,0.2877,110
Central Harlem,Youth 18 to 24 Years,2005,Number,11262,110
Central Harlem,Youth 18 to 24 Years,2005,Percent,0.09521,110
East Harlem,Adults 25 Years and Older,2005,Number,69333,111
East Harlem,Adults 25 Years and Older,2005,Percent,0.63161,111
East Harlem,Children Under 18 Years,2005,Number,29867,111
East Harlem,Children Under 18 Years,2005,Percent,0.27208,111
East Harlem,Youth 18 to 24 Years,2005,Number,10572,111
East Harlem,Youth 18 to 24 Years,2005,Percent,0.09631,111
Washington Heights,Adults 25 Years and Older,2005,Number,140232,112
Washington Heights,Adults 25 Years and Older,2005,Percent,0.65159,112
Washington Heights,Children Under 18 Years,2005,Number,53464,112
Washington Heights,Children Under 18 Years,2005,Percent,0.24842,112
Washington Heights,Youth 18 to 24 Years,2005,Number,21519,112
Washington Heights,Youth 18 to 24 Years,2005,Percent,0.09999,112
Mott Haven,Adults 25 Years and Older,2005,Number,47242.12202,201
Mott Haven,Adults 25 Years and Older,2005,Percent,0.5493,201
Mott Haven,Children Under 18 Years,2005,Number,31210.43045,201
Mott Haven,Children Under 18 Years,2005,Percent,0.36289,201
Mott Haven,Youth 18 to 24 Years,2005,Number,7551.81406,201
Mott Haven,Youth 18 to 24 Years,2005,Percent,0.08781,201
Hunts Point,Adults 25 Years and Older,2005,Number,26975.87798,202
Hunts Point,Adults 25 Years and Older,2005,Percent,0.5493,202
Hunts Point,Children Under 18 Years,2005,Number,17821.56955,202
Hunts Point,Children Under 18 Years,2005,Percent,0.36289,202
Hunts Point,Youth 18 to 24 Years,2005,Number,4312.18594,202
Hunts Point,Youth 18 to 24 Years,2005,Percent,0.08781,202
Morrisania,Adults 25 Years and Older,2005,Number,36117.21992,203
Morrisania,Adults 25 Years and Older,2005,Percent,0.52483,203
Morrisania,Children Under 18 Years,2005,Number,24798.97109,203
Morrisania,Children Under 18 Years,2005,Percent,0.36036,203
Morrisania,Youth 18 to 24 Years,2005,Number,7900.36666,203
Morrisania,Youth 18 to 24 Years,2005,Percent,0.1148,203
Concourse/Highbridge,Adults 25 Years and Older,2005,Number,73118,204
Concourse/Highbridge,Adults 25 Years and Older,2005,Percent,0.55053,204
Concourse/Highbridge,Children Under 18 Years,2005,Number,44786,204
Concourse/Highbridge,Children Under 18 Years,2005,Percent,0.33721,204
