"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Riverdale,Asian,2009,Number,5647,208
Williamsbridge,Asian,2009,Number,3194,212
Throgs Neck,Asian,2009,Number,2613,210
Pelham Parkway,Asian,2009,Number,9459,211
Morrisania,Asian,2009,Number,667.33342,203
East Tremont,Asian,2009,Number,696.66658,206
Bedford Park,Asian,2009,Number,7408,207
University Heights,Asian,2009,Number,2522,205
Concourse/Highbridge,Asian,2009,Number,2589,204
Unionport/Soundview,Asian,2009,Number,10677,209
Mott Haven,Asian,2009,Number,657.53742,201
Hunts Point,Asian,2009,Number,375.46258,202
Washington Heights,Asian,2009,Number,4180,112
Manhattanville,Asian,2009,Number,6658,109
Central Harlem,Asian,2009,Number,2607,110
East Harlem,Asian,2009,Number,5398,111
Upper East Side,Asian,2009,Number,17317,108
Upper West Side,Asian,2009,Number,14277,107
Chelsea/Clinton,Asian,2009,Number,11485.58805,104
Midtown Business District,Asian,2009,Number,5748.41195,105
Murray Hill/Stuyvesant,Asian,2009,Number,17914,106
Lower East Side,Asian,2009,Number,57555,103
Battery Park/Tribeca,Asian,2009,Number,8525.9516,101
Greenwich Village,Asian,2009,Number,12586.0484,102
Tottenville,Asian,2009,Number,6771,503
South Beach,Asian,2009,Number,15221,502
St. George,Asian,2009,Number,13375,501
Williamsburg/Greenpoint,Asian,2009,Number,7511,301
Bushwick,Asian,2009,Number,4262,304
Bedford Stuyvesant,Asian,2009,Number,2857,303
Fort Greene/Brooklyn Hts,Asian,2009,Number,7233,302
Park Slope,Asian,2009,Number,6343,306
Crown Heights North,Asian,2009,Number,2468,308
Brownsville,Asian,2009,Number,589,316
East New York,Asian,2009,Number,7578,305
