"Name","Unemployment Rate "
"Description","Individuals 16 years and older actively seeking employment (within the last four weeks) who are unemployed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table C23001 (2005-2013), Table S2301 (2014-2019);&nbsp; retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","The unemployment rates reported here are different than the official unemployment rates reported quarterly by the U.S. Bureau of Labor Statistics."

Location,TimeFrame,DataFormat,Data,Fips
Mott Haven,2005,Percent,0.176,201
Hunts Point,2005,Percent,0.176,202
Morrisania,2005,Percent,0.165,203
East Tremont,2005,Percent,0.165,206
Bedford Stuyvesant,2005,Percent,0.139,303
Brownsville,2005,Percent,0.139,316
Crown Heights South,2005,Percent,0.13,309
Bushwick,2005,Percent,0.127,304
Washington Heights,2005,Percent,0.115,112
Williamsbridge,2005,Percent,0.113,212
Concourse/Highbridge,2005,Percent,0.112,204
East New York,2005,Percent,0.111,305
Bronx,2005,Percent,0.11,36005
University Heights,2005,Percent,0.11,205
Unionport/Soundview,2005,Percent,0.109,209
Howard Beach,2005,Percent,0.104,410
Crown Heights North,2005,Percent,0.103,308
East Harlem,2005,Percent,0.098,111
Bedford Park,2005,Percent,0.097,207
Jackson Heights,2005,Percent,0.096,403
Pelham Parkway,2005,Percent,0.095,211
Woodhaven,2005,Percent,0.094,409
Borough Park,2005,Percent,0.093,312
Brooklyn,2005,Percent,0.091,36047
St. George,2005,Percent,0.091,501
East Flatbush,2005,Percent,0.091,317
Bay Ridge,2005,Percent,0.09,310
Jamaica/St. Albans,2005,Percent,0.09,412
Fort Greene/Brooklyn Hts,2005,Percent,0.089,302
Lower East Side,2005,Percent,0.088,103
Flatbush/Midwood,2005,Percent,0.085,314
New York City,2005,Percent,0.084,3651000
Sunset Park,2005,Percent,0.083,307
Ridgewood/Glendale,2005,Percent,0.083,405
Canarsie,2005,Percent,0.08,318
The Rockaways,2005,Percent,0.08,414
Sheepshead Bay,2005,Percent,0.079,315
Queens,2005,Percent,0.078,36081
Sunnyside/Woodside,2005,Percent,0.078,402
Astoria,2005,Percent,0.075,401
Flushing,2005,Percent,0.075,407
Riverdale,2005,Percent,0.072,208
Queens Village,2005,Percent,0.071,413
Manhattan,2005,Percent,0.07,36061
Staten Island,2005,Percent,0.068,36085
South Beach,2005,Percent,0.067,502
Chelsea/Clinton,2005,Percent,0.066,104
Midtown Business District,2005,Percent,0.066,105
Williamsburg/Greenpoint,2005,Percent,0.066,301
Coney Island,2005,Percent,0.066,313
Fresh Meadows/Briarwood,2005,Percent,0.065,408
Elmhurst/Corona,2005,Percent,0.065,404
Bensonhurst,2005,Percent,0.061,311
Park Slope,2005,Percent,0.058,306
Rego Park/Forest Hills,2005,Percent,0.057,406
Upper West Side,2005,Percent,0.055,107
Bayside,2005,Percent,0.046,411
Upper East Side,2005,Percent,0.045,108
Tottenville,2005,Percent,0.044,503
Murray Hill/Stuyvesant,2005,Percent,0.041,106
Battery Park/Tribeca,2005,Percent,0.033,101
Greenwich Village,2005,Percent,0.033,102
Bronx,2006,Percent,0.11771,36005
Brooklyn,2006,Percent,0.07385,36047
Manhattan,2006,Percent,0.06751,36061
Queens,2006,Percent,0.075,36081
Staten Island,2006,Percent,0.05371,36085
Riverdale,2006,Percent,0.1225,208
Williamsbridge,2006,Percent,0.11047,212
Throgs Neck,2006,Percent,0.09165,210
Pelham Parkway,2006,Percent,0.08163,211
Morrisania,2006,Percent,0.13087,203
East Tremont,2006,Percent,0.13087,206
Bedford Park,2006,Percent,0.13222,207
University Heights,2006,Percent,0.15177,205
Concourse/Highbridge,2006,Percent,0.13857,204
Unionport/Soundview,2006,Percent,0.08445,209
Mott Haven,2006,Percent,0.14938,201
Hunts Point,2006,Percent,0.14938,202
Washington Heights,2006,Percent,0.11363,112
Manhattanville,2006,Percent,0.08115,109
Central Harlem,2006,Percent,0.1343,110
East Harlem,2006,Percent,0.10622,111
Upper East Side,2006,Percent,0.03513,108
Upper West Side,2006,Percent,0.04525,107
Chelsea/Clinton,2006,Percent,0.05488,104
Midtown Business District,2006,Percent,0.05488,105
Murray Hill/Stuyvesant,2006,Percent,0.04782,106
Lower East Side,2006,Percent,0.07519,103
Battery Park/Tribeca,2006,Percent,0.04774,101
Greenwich Village,2006,Percent,0.04774,102
Tottenville,2006,Percent,0.03652,503
South Beach,2006,Percent,0.07272,502
St. George,2006,Percent,0.05652,501
Williamsburg/Greenpoint,2006,Percent,0.06128,301
Bushwick,2006,Percent,0.07097,304
Bedford Stuyvesant,2006,Percent,0.12788,303
Fort Greene/Brooklyn Hts,2006,Percent,0.06792,302
Park Slope,2006,Percent,0.05138,306
Crown Heights North,2006,Percent,0.12743,308
Brownsville,2006,Percent,0.13104,316
East New York,2006,Percent,0.07237,305
Canarsie,2006,Percent,0.05522,318
East Flatbush,2006,Percent,0.08351,317
Crown Heights South,2006,Percent,0.11312,309
Sunset Park,2006,Percent,0.04403,307
Bay Ridge,2006,Percent,0.08182,310
Borough Park,2006,Percent,0.06134,312
Flatbush/Midwood,2006,Percent,0.0738,314
Sheepshead Bay,2006,Percent,0.05103,315
Bensonhurst,2006,Percent,0.0488,311
Coney Island,2006,Percent,0.04934,313
Astoria,2006,Percent,0.1012,401
Jackson Heights,2006,Percent,0.06777,403
Flushing,2006,Percent,0.07832,407
Bayside,2006,Percent,0.04387,411
Queens Village,2006,Percent,0.06663,413
Fresh Meadows/Briarwood,2006,Percent,0.06408,408
Elmhurst/Corona,2006,Percent,0.0526,404
Rego Park/Forest Hills,2006,Percent,0.06199,406
Sunnyside/Woodside,2006,Percent,0.08694,402
Ridgewood/Glendale,2006,Percent,0.06545,405
Woodhaven,2006,Percent,0.0759,409
Jamaica/St. Albans,2006,Percent,0.09941,412
Howard Beach,2006,Percent,0.07794,410
The Rockaways,2006,Percent,0.09076,414
New York City,2006,Percent,0.07798,3651000
Bronx,2007,Percent,0.10058,36005
Brooklyn,2007,Percent,0.06668,36047
Manhattan,2007,Percent,0.06791,36061
Queens,2007,Percent,0.06627,36081
Staten Island,2007,Percent,0.04633,36085
Riverdale,2007,Percent,0.07847,208
Williamsbridge,2007,Percent,0.08814,212
Throgs Neck,2007,Percent,0.05675,210
Pelham Parkway,2007,Percent,0.08376,211
Morrisania,2007,Percent,0.13027,203
East Tremont,2007,Percent,0.13027,206
Bedford Park,2007,Percent,0.09899,207
University Heights,2007,Percent,0.16144,205
Concourse/Highbridge,2007,Percent,0.11209,204
Unionport/Soundview,2007,Percent,0.07535,209
Mott Haven,2007,Percent,0.13194,201
Hunts Point,2007,Percent,0.13194,202
Washington Heights,2007,Percent,0.12185,112
Manhattanville,2007,Percent,0.06945,109
Central Harlem,2007,Percent,0.1281,110
East Harlem,2007,Percent,0.12891,111
Upper East Side,2007,Percent,0.03419,108
Upper West Side,2007,Percent,0.04542,107
Chelsea/Clinton,2007,Percent,0.05313,104
Midtown Business District,2007,Percent,0.05313,105
Murray Hill/Stuyvesant,2007,Percent,0.04504,106
Lower East Side,2007,Percent,0.08412,103
Battery Park/Tribeca,2007,Percent,0.03292,101
Greenwich Village,2007,Percent,0.03292,102
Tottenville,2007,Percent,0.02719,503
South Beach,2007,Percent,0.03911,502
St. George,2007,Percent,0.06948,501
Williamsburg/Greenpoint,2007,Percent,0.05147,301
Bushwick,2007,Percent,0.08002,304
Bedford Stuyvesant,2007,Percent,0.08849,303
Fort Greene/Brooklyn Hts,2007,Percent,0.06561,302
Park Slope,2007,Percent,0.05483,306
Crown Heights North,2007,Percent,0.09357,308
Brownsville,2007,Percent,0.1157,316
East New York,2007,Percent,0.06304,305
Canarsie,2007,Percent,0.03999,318
East Flatbush,2007,Percent,0.09757,317
Crown Heights South,2007,Percent,0.10517,309
Sunset Park,2007,Percent,0.05412,307
Bay Ridge,2007,Percent,0.04748,310
Borough Park,2007,Percent,0.06738,312
Flatbush/Midwood,2007,Percent,0.04946,314
Sheepshead Bay,2007,Percent,0.05592,315
Bensonhurst,2007,Percent,0.05266,311
Coney Island,2007,Percent,0.06113,313
Astoria,2007,Percent,0.06392,401
Jackson Heights,2007,Percent,0.05774,403
Flushing,2007,Percent,0.08393,407
Bayside,2007,Percent,0.0433,411
Queens Village,2007,Percent,0.065,413
Fresh Meadows/Briarwood,2007,Percent,0.07341,408
Elmhurst/Corona,2007,Percent,0.0554,404
Rego Park/Forest Hills,2007,Percent,0.05106,406
Sunnyside/Woodside,2007,Percent,0.05253,402
Ridgewood/Glendale,2007,Percent,0.06301,405
Woodhaven,2007,Percent,0.07847,409
Jamaica/St. Albans,2007,Percent,0.09949,412
Howard Beach,2007,Percent,0.05824,410
The Rockaways,2007,Percent,0.04666,414
New York City,2007,Percent,0.07072,3651000
Bronx,2008,Percent,0.09034,36005
Brooklyn,2008,Percent,0.07249,36047
Manhattan,2008,Percent,0.06664,36061
Queens,2008,Percent,0.07045,36081
Staten Island,2008,Percent,0.054,36085
Riverdale,2008,Percent,0.06466,208
Williamsbridge,2008,Percent,0.08946,212
Throgs Neck,2008,Percent,0.07788,210
Pelham Parkway,2008,Percent,0.06349,211
Morrisania,2008,Percent,0.1248,203
East Tremont,2008,Percent,0.1248,206
Bedford Park,2008,Percent,0.09334,207
University Heights,2008,Percent,0.14852,205
Concourse/Highbridge,2008,Percent,0.08859,204
Unionport/Soundview,2008,Percent,0.07297,209
Mott Haven,2008,Percent,0.08679,201
Hunts Point,2008,Percent,0.08679,202
Washington Heights,2008,Percent,0.11891,112
Manhattanville,2008,Percent,0.05279,109
Central Harlem,2008,Percent,0.08888,110
East Harlem,2008,Percent,0.12928,111
Upper East Side,2008,Percent,0.0314,108
Upper West Side,2008,Percent,0.04383,107
Chelsea/Clinton,2008,Percent,0.0684,104
Midtown Business District,2008,Percent,0.0684,105
Murray Hill/Stuyvesant,2008,Percent,0.04422,106
Lower East Side,2008,Percent,0.10115,103
Battery Park/Tribeca,2008,Percent,0.03217,101
Greenwich Village,2008,Percent,0.03217,102
Tottenville,2008,Percent,0.05097,503
South Beach,2008,Percent,0.05176,502
St. George,2008,Percent,0.05867,501
Williamsburg/Greenpoint,2008,Percent,0.04205,301
Bushwick,2008,Percent,0.06167,304
Bedford Stuyvesant,2008,Percent,0.08244,303
Fort Greene/Brooklyn Hts,2008,Percent,0.07595,302
Park Slope,2008,Percent,0.05034,306
Crown Heights North,2008,Percent,0.08384,308
Brownsville,2008,Percent,0.1585,316
East New York,2008,Percent,0.08216,305
Canarsie,2008,Percent,0.07077,318
East Flatbush,2008,Percent,0.07735,317
Crown Heights South,2008,Percent,0.10797,309
Sunset Park,2008,Percent,0.05508,307
Bay Ridge,2008,Percent,0.04966,310
Borough Park,2008,Percent,0.07627,312
Flatbush/Midwood,2008,Percent,0.05591,314
Sheepshead Bay,2008,Percent,0.04866,315
Bensonhurst,2008,Percent,0.07524,311
Coney Island,2008,Percent,0.08297,313
Astoria,2008,Percent,0.06404,401
Jackson Heights,2008,Percent,0.06575,403
Flushing,2008,Percent,0.06572,407
Bayside,2008,Percent,0.0512,411
Queens Village,2008,Percent,0.07544,413
Fresh Meadows/Briarwood,2008,Percent,0.06554,408
Elmhurst/Corona,2008,Percent,0.06293,404
Rego Park/Forest Hills,2008,Percent,0.06194,406
Sunnyside/Woodside,2008,Percent,0.05974,402
Ridgewood/Glendale,2008,Percent,0.04521,405
Woodhaven,2008,Percent,0.0944,409
Jamaica/St. Albans,2008,Percent,0.1011,412
Howard Beach,2008,Percent,0.09835,410
The Rockaways,2008,Percent,0.05847,414
New York City,2008,Percent,0.0722,3651000
Bronx,2009,Percent,0.13326,36005
Brooklyn,2009,Percent,0.09994,36047
Manhattan,2009,Percent,0.09691,36061
Queens,2009,Percent,0.09859,36081
Staten Island,2009,Percent,0.07014,36085
Riverdale,2009,Percent,0.09323,208
Williamsbridge,2009,Percent,0.13803,212
Throgs Neck,2009,Percent,0.10419,210
Pelham Parkway,2009,Percent,0.08588,211
Morrisania,2009,Percent,0.13319,203
East Tremont,2009,Percent,0.13319,206
Bedford Park,2009,Percent,0.12698,207
University Heights,2009,Percent,0.19445,205
