"Name","Child Abuse and Neglect Investigations"
"Description","Consolidated investigations of child abuse and neglect."
"Source Notes","New York City Administration for Children's Services, Abuse/Neglect Reports, CONNECTIONS data (2002 - 2019); retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/acs/about/data-analysis.page"" target=""_blank"">https://www1.nyc.gov/site/acs/about/data-analysis.page</a>"
"Notes",""

Location,TimeFrame,DataFormat,Data,Fips
New York City,2002,Number,55714,3651000
New York City,2003,Number,52617,3651000
New York City,2004,Number,48884,3651000
New York City,2005,Number,47640,3651000
New York City,2006,Number,63483,3651000
New York City,2007,Number,58371,3651000
New York City,2008,Number,60211,3651000
New York City,2009,Number,59249,3651000
New York City,2010,Number,59610,3651000
New York City,2011,Number,58581,3651000
New York City,2012,Number,55436,3651000
New York City,2013,Number,54495,3651000
New York City,2014,Number,55018,3651000
New York City,2015,Number,54384,3651000
New York City,2016,Number,56780,3651000
New York City,2017,Number,59411,3651000
New York City,2018,Number,57883,3651000
New York City,2019,Number,54985,3651000
Manhattan,2019,Number,7075,36061
Manhattan,2018,Number,7006,36061
Manhattan,2010,Number,7457,36061
Manhattan,2011,Number,7134,36061
Manhattan,2012,Number,7090,36061
Manhattan,2013,Number,6751,36061
Manhattan,2014,Number,5982,36061
Manhattan,2015,Number,6125,36061
Manhattan,2016,Number,6654,36061
Manhattan,2017,Number,6960,36061
Manhattan,2002,Number,8058,36061
Manhattan,2003,Number,7288,36061
Manhattan,2004,Number,6804,36061
Manhattan,2005,Number,6817,36061
Manhattan,2006,Number,9128,36061
Manhattan,2007,Number,8234,36061
Manhattan,2008,Number,7805,36061
Manhattan,2009,Number,6369,36061
Battery Park/Tribeca,2010,Number,93,101
Battery Park/Tribeca,2012,Number,83,101
Battery Park/Tribeca,2011,Number,122,101
Battery Park/Tribeca,2016,Number,103,101
Battery Park/Tribeca,2015,Number,79,101
Battery Park/Tribeca,2014,Number,63,101
Battery Park/Tribeca,2013,Number,113,101
Battery Park/Tribeca,2009,Number,97,101
Battery Park/Tribeca,2008,Number,127,101
Battery Park/Tribeca,2007,Number,138,101
Battery Park/Tribeca,2006,Number,160,101
Battery Park/Tribeca,2005,Number,36,101
Battery Park/Tribeca,2004,Number,39,101
Battery Park/Tribeca,2003,Number,31,101
Battery Park/Tribeca,2002,Number,39,101
Battery Park/Tribeca,2017,Number,123,101
Battery Park/Tribeca,2019,Number,110,101
Battery Park/Tribeca,2018,Number,116,101
Greenwich Village,2018,Number,79,102
Greenwich Village,2019,Number,64,102
Greenwich Village,2017,Number,74,102
Greenwich Village,2002,Number,67,102
Greenwich Village,2003,Number,68,102
Greenwich Village,2004,Number,63,102
Greenwich Village,2005,Number,61,102
Greenwich Village,2006,Number,95,102
Greenwich Village,2007,Number,76,102
Greenwich Village,2008,Number,78,102
Greenwich Village,2009,Number,75,102
Greenwich Village,2013,Number,67,102
Greenwich Village,2014,Number,60,102
Greenwich Village,2015,Number,60,102
Greenwich Village,2016,Number,69,102
Greenwich Village,2011,Number,60,102
Greenwich Village,2012,Number,73,102
Greenwich Village,2010,Number,76,102
Lower East Side,2010,Number,922,103
Lower East Side,2012,Number,840,103
Lower East Side,2011,Number,950,103
Lower East Side,2016,Number,850,103
Lower East Side,2015,Number,723,103
Lower East Side,2014,Number,751,103
Lower East Side,2013,Number,769,103
Lower East Side,2009,Number,796,103
Lower East Side,2008,Number,1032,103
Lower East Side,2007,Number,1094,103
Lower East Side,2006,Number,1144,103
Lower East Side,2005,Number,834,103
Lower East Side,2004,Number,756,103
Lower East Side,2003,Number,799,103
Lower East Side,2002,Number,846,103
Lower East Side,2017,Number,866,103
Lower East Side,2019,Number,855,103
Lower East Side,2018,Number,855,103
Chelsea/Clinton,2018,Number,343,104
