Name,Child Abuse and Neglect Investigations,,
Location,TimeFrame,Data,Fips
New York City,2002,55714,3651000
New York City,2003,52617,3651000
New York City,2004,48884,3651000
New York City,2005,47640,3651000
New York City,2006,63483,3651000
New York City,2007,58371,3651000
New York City,2008,60211,3651000
New York City,2009,59249,3651000
New York City,2010,59610,3651000
New York City,2011,58581,3651000
New York City,2012,55436,3651000
New York City,2013,54495,3651000
New York City,2014,55018,3651000
New York City,2015,54384,3651000
New York City,2016,56780,3651000
New York City,2017,59411,3651000
New York City,2018,57883,3651000
New York City,2019,54985,3651000
Manhattan,2019,7075,36061
Manhattan,2018,7006,36061
Manhattan,2010,7457,36061
Manhattan,2011,7134,36061
Manhattan,2012,7090,36061
Manhattan,2013,6751,36061
Manhattan,2014,5982,36061
Manhattan,2015,6125,36061
Manhattan,2016,6654,36061
Manhattan,2017,6960,36061
Manhattan,2002,8058,36061
Manhattan,2003,7288,36061
Manhattan,2004,6804,36061
Manhattan,2005,6817,36061
Manhattan,2006,9128,36061
Manhattan,2007,8234,36061
Manhattan,2008,7805,36061
Manhattan,2009,6369,36061
Battery Park/Tribeca,2010,93,101
Battery Park/Tribeca,2012,83,101
Battery Park/Tribeca,2011,122,101
Battery Park/Tribeca,2016,103,101
Battery Park/Tribeca,2015,79,101
Battery Park/Tribeca,2014,63,101
Battery Park/Tribeca,2013,113,101
Battery Park/Tribeca,2009,97,101
Battery Park/Tribeca,2008,127,101
Battery Park/Tribeca,2007,138,101
Battery Park/Tribeca,2006,160,101
Battery Park/Tribeca,2005,36,101
Battery Park/Tribeca,2004,39,101
Battery Park/Tribeca,2003,31,101
Battery Park/Tribeca,2002,39,101
Battery Park/Tribeca,2017,123,101
Battery Park/Tribeca,2019,110,101
Battery Park/Tribeca,2018,116,101
Greenwich Village,2018,79,102
Greenwich Village,2019,64,102
Greenwich Village,2017,74,102
Greenwich Village,2002,67,102
Greenwich Village,2003,68,102
Greenwich Village,2004,63,102
Greenwich Village,2005,61,102
Greenwich Village,2006,95,102
Greenwich Village,2007,76,102
Greenwich Village,2008,78,102
Greenwich Village,2009,75,102
Greenwich Village,2013,67,102
Greenwich Village,2014,60,102
Greenwich Village,2015,60,102
Greenwich Village,2016,69,102
Greenwich Village,2011,60,102
Greenwich Village,2012,73,102
Greenwich Village,2010,76,102
Lower East Side,2010,922,103
Lower East Side,2012,840,103
Lower East Side,2011,950,103
Lower East Side,2016,850,103
Lower East Side,2015,723,103
Lower East Side,2014,751,103
Lower East Side,2013,769,103
Lower East Side,2009,796,103
Lower East Side,2008,1032,103
Lower East Side,2007,1094,103
Lower East Side,2006,1144,103
Lower East Side,2005,834,103
Lower East Side,2004,756,103
Lower East Side,2003,799,103
Lower East Side,2002,846,103
Lower East Side,2017,866,103
Lower East Side,2019,855,103
Lower East Side,2018,855,103
Chelsea/Clinton,2018,343,104
Chelsea/Clinton,2019,364,104
Chelsea/Clinton,2017,325,104
Chelsea/Clinton,2002,325,104
Chelsea/Clinton,2003,299,104
Chelsea/Clinton,2004,245,104
Chelsea/Clinton,2005,269,104
Chelsea/Clinton,2006,384,104
Chelsea/Clinton,2007,347,104
Chelsea/Clinton,2008,267,104
Chelsea/Clinton,2009,263,104
Chelsea/Clinton,2013,281,104
Chelsea/Clinton,2014,271,104
Chelsea/Clinton,2015,268,104
Chelsea/Clinton,2016,276,104
Chelsea/Clinton,2011,278,104
Chelsea/Clinton,2012,263,104
Chelsea/Clinton,2010,269,104
Midtown Business District,2010,128,105
Midtown Business District,2012,120,105
Midtown Business District,2011,119,105
Midtown Business District,2016,130,105
Midtown Business District,2015,113,105
Midtown Business District,2014,132,105
Midtown Business District,2013,151,105
Midtown Business District,2009,89,105
Midtown Business District,2008,104,105
Midtown Business District,2007,101,105
Midtown Business District,2006,120,105
Midtown Business District,2005,74,105
Midtown Business District,2004,67,105
Midtown Business District,2003,79,105
Midtown Business District,2002,82,105
Midtown Business District,2017,176,105
Midtown Business District,2019,350,105
Midtown Business District,2018,341,105
Murray Hill/Stuyvesant,2018,162,106
Murray Hill/Stuyvesant,2019,158,106
Murray Hill/Stuyvesant,2017,148,106
Murray Hill/Stuyvesant,2002,122,106
Murray Hill/Stuyvesant,2003,101,106
Murray Hill/Stuyvesant,2004,149,106
Murray Hill/Stuyvesant,2005,125,106
Murray Hill/Stuyvesant,2006,157,106
Murray Hill/Stuyvesant,2007,121,106
Murray Hill/Stuyvesant,2008,120,106
Murray Hill/Stuyvesant,2009,107,106
Murray Hill/Stuyvesant,2013,146,106
Murray Hill/Stuyvesant,2014,94,106
Murray Hill/Stuyvesant,2015,130,106
Murray Hill/Stuyvesant,2016,134,106
Murray Hill/Stuyvesant,2011,149,106
Murray Hill/Stuyvesant,2012,156,106
Murray Hill/Stuyvesant,2010,156,106
Upper West Side,2010,542,107
Upper West Side,2012,507,107
Upper West Side,2011,513,107
Upper West Side,2016,565,107
Upper West Side,2015,507,107
Upper West Side,2014,471,107
Upper West Side,2013,463,107
Upper West Side,2009,475,107
Upper West Side,2008,564,107
Upper West Side,2007,572,107
Upper West Side,2006,577,107
Upper West Side,2005,470,107
Upper West Side,2004,478,107
Upper West Side,2003,519,107
Upper West Side,2002,492,107
Upper West Side,2017,611,107
Upper West Side,2019,633,107
Upper West Side,2018,560,107
Upper East Side,2018,259,108
Upper East Side,2019,277,108
Upper East Side,2017,242,108
Upper East Side,2002,212,108
Upper East Side,2003,164,108
Upper East Side,2004,232,108
Upper East Side,2005,192,108
Upper East Side,2006,247,108
Upper East Side,2007,213,108
Upper East Side,2008,224,108
Upper East Side,2009,243,108
Upper East Side,2013,225,108
Upper East Side,2014,230,108
Upper East Side,2015,237,108
Upper East Side,2016,220,108
Upper East Side,2011,216,108
Upper East Side,2012,268,108
Upper East Side,2010,262,108
Manhattanville,2010,803,109
Manhattanville,2012,745,109
Manhattanville,2011,751,109
Manhattanville,2016,774,109
Manhattanville,2015,681,109
Manhattanville,2014,670,109
Manhattanville,2013,720,109
Manhattanville,2009,687,109
Manhattanville,2008,856,109
Manhattanville,2007,926,109
Manhattanville,2006,1011,109
Manhattanville,2005,730,109
Manhattanville,2004,824,109
Manhattanville,2003,792,109
Manhattanville,2002,922,109
Manhattanville,2017,716,109
Manhattanville,2019,694,109
Manhattanville,2018,669,109
Central Harlem,2018,1283,110
Central Harlem,2019,1196,110
Central Harlem,2017,1351,110
Central Harlem,2002,1574,110
Central Harlem,2003,1354,110
Central Harlem,2004,1200,110
Central Harlem,2005,1208,110
Central Harlem,2006,1755,110
Central Harlem,2007,1595,110
Central Harlem,2008,1472,110
Central Harlem,2009,1144,110
Central Harlem,2013,1373,110
Central Harlem,2014,1133,110
Central Harlem,2015,1126,110
Central Harlem,2016,1269,110
Central Harlem,2011,1329,110
Central Harlem,2012,1356,110
Central Harlem,2010,1323,110
East Harlem,2010,1564,111
East Harlem,2012,1457,111
East Harlem,2011,1441,111
East Harlem,2016,1342,111
East Harlem,2015,1329,111
East Harlem,2014,1286,111
East Harlem,2013,1468,111
East Harlem,2009,1296,111
East Harlem,2008,1619,111
