Name,Infant Mortality,,
Location,TimeFrame,Data,Fips
Astoria,2002,5.57724,401
Battery Park/Tribeca,2002,3.76506,101
Bay Ridge,2002,5.12505,310
Bayside,2002,3.84061,411
Bedford Park,2002,5.70761,207
Bedford Stuyvesant,2002,10.68971,303
Bensonhurst,2002,3.62647,311
Borough Park,2002,2.90173,312
Brownsville,2002,12.46106,316
Bushwick,2002,7.1965,304
Canarsie,2002,7.14012,318
Central Harlem,2002,9.61176,110
Chelsea/Clinton,2002,4.69484,104
Concourse/Highbridge,2002,7.49574,204
Coney Island,2002,6.99692,313
Crown Heights North,2002,9.52592,308
Crown Heights South,2002,6.89527,309
East Flatbush,2002,10.47923,317
East Harlem,2002,9.71045,111
East New York,2002,7.74135,305
East Tremont,2002,7.22442,206
Elmhurst/Corona,2002,4.22974,404
Flatbush/Midwood,2002,6.76575,314
Flushing,2002,3.39259,407
Fort Greene/Brooklyn Hts,2002,9.30372,302
Fresh Meadows/Briarwood,2002,6.59703,408
Greenwich Village,2002,2.6455,102
Howard Beach,2002,3.87263,410
Hunts Point,2002,5.35714,202
Jackson Heights,2002,4.71356,403
Jamaica/St. Albans,2002,8.02462,412
Lower East Side,2002,3.61446,103
Midtown Business District,2002,4.74684,105
Morrisania,2002,6.79587,203
Mott Haven,2002,5.47645,201
Murray Hill/Stuyvesant,2002,1.86567,106
Park Slope,2002,4.74721,306
Pelham Parkway,2002,5.6276,211
Queens Village,2002,6.69441,413
Rego Park/Forest Hills,2002,1.67224,406
Ridgewood/Glendale,2002,3.84184,405
Riverdale,2002,7.4053,208
Sheepshead Bay,2002,4.80027,315
South Beach,2002,5.90909,502
St. George,2002,6.78702,501
Sunnyside/Woodside,2002,2.38302,402
Sunset Park,2002,5.87458,307
The Rockaways,2002,9.54401,414
Throgs Neck,2002,5.28751,210
Tottenville,2002,2.92398,503
Unionport/Soundview,2002,8.14714,209
University Heights,2002,6.16979,205
Upper East Side,2002,2.6826,108
Upper West Side,2002,3.59897,107
Washington Heights,2002,5.17545,112
Williamsbridge,2002,6.58465,212
Williamsburg/Greenpoint,2002,3.38317,301
Woodhaven,2002,5.42524,409
Astoria,2003,4.72306,401
Battery Park/Tribeca,2003,2.05903,101
