Name,Live Births,,,
Location,TimeFrame,DataFormat,Data,Fips
New York City,2001,Number,124023,3651000
New York City,2002,Number,122937,3651000
New York City,2003,Number,124345,3651000
New York City,2004,Number,124099,3651000
New York City,2005,Number,122725,3651000
New York City,2006,Number,125506,3651000
New York City,2007,Number,128961,3651000
New York City,2008,Number,127680,3651000
New York City,2009,Number,126774,3651000
New York City,2010,Number,124791,3651000
New York City,2011,Number,123029,3651000
New York City,2012,Number,123231,3651000
New York City,2013,Number,120457,3651000
New York City,2014,Number,122084,3651000
New York City,2015,Number,121673,3651000
New York City,2016,Number,120367,3651000
New York City,2016,Rate,14,3651000
New York City,2015,Rate,14,3651000
New York City,2014,Rate,14,3651000
New York City,2013,Rate,14.3,3651000
New York City,2012,Rate,14.8,3651000
New York City,2011,Rate,14.9,3651000
New York City,2010,Rate,15.1,3651000
New York City,2009,Rate,15.5,3651000
New York City,2008,Rate,15.7,3651000
New York City,2007,Rate,16,3651000
New York City,2006,Rate,15.6,3651000
New York City,2005,Rate,15.3,3651000
New York City,2004,Rate,15.4,3651000
New York City,2003,Rate,15.4,3651000
New York City,2002,Rate,15.2,3651000
New York City,2001,Rate,15.4,3651000
New York City,2017,Rate,13.6,3651000
New York City,2000,Number,125563,3651000
New York City,2017,Number,117013,3651000
New York City,2000,Rate,15.7,3651000
Manhattan,2017,Rate,10.2,36061
Manhattan,2000,Rate,12.9,36061
Manhattan,2001,Rate,12.7,36061
Manhattan,2002,Rate,12.6,36061
Manhattan,2003,Rate,13.1,36061
Manhattan,2004,Rate,13,36061
Manhattan,2005,Rate,12.7,36061
Manhattan,2006,Rate,12.8,36061
Manhattan,2007,Rate,13,36061
Manhattan,2008,Rate,12.7,36061
Manhattan,2009,Rate,12.6,36061
Manhattan,2010,Rate,12.4,36061
Manhattan,2011,Rate,12,36061
Manhattan,2012,Rate,11.8,36061
Manhattan,2013,Rate,11.2,36061
Manhattan,2014,Rate,11.1,36061
Manhattan,2015,Rate,10.8,36061
Manhattan,2016,Rate,10.5,36061
Manhattan,2000,Number,19813,36061
Manhattan,2001,Number,19645,36061
Manhattan,2002,Number,19465,36061
Manhattan,2003,Number,20294,36061
Manhattan,2004,Number,20246,36061
Manhattan,2005,Number,19922,36061
Manhattan,2006,Number,20131,36061
Manhattan,2007,Number,20387,36061
Manhattan,2008,Number,20040,36061
Manhattan,2009,Number,19903,36061
Manhattan,2010,Number,19502,36061
Manhattan,2011,Number,19224,36061
Manhattan,2012,Number,18977,36061
Manhattan,2013,Number,17944,36061
Manhattan,2014,Number,18047,36061
Manhattan,2015,Number,17668,36061
Manhattan,2016,Number,17109,36061
Manhattan,2017,Number,16980,36061
Battery Park/Tribeca,2000,Number,436,101
Battery Park/Tribeca,2001,Number,503,101
Battery Park/Tribeca,2002,Number,389,101
Battery Park/Tribeca,2003,Number,565,101
Battery Park/Tribeca,2004,Number,616,101
Battery Park/Tribeca,2005,Number,663,101
Battery Park/Tribeca,2006,Number,760,101
Battery Park/Tribeca,2007,Number,824,101
Battery Park/Tribeca,2008,Number,881,101
Battery Park/Tribeca,2009,Number,970,101
Battery Park/Tribeca,2010,Number,1086,101
Battery Park/Tribeca,2011,Number,1087,101
Battery Park/Tribeca,2012,Number,1191,101
Battery Park/Tribeca,2013,Number,1144,101
Battery Park/Tribeca,2014,Number,1179,101
Battery Park/Tribeca,2015,Number,1139,101
Battery Park/Tribeca,2016,Number,1052,101
Battery Park/Tribeca,2017,Number,1104,101
Battery Park/Tribeca,2017,Rate,17.3,101
Battery Park/Tribeca,2016,Rate,16.6,101
Battery Park/Tribeca,2015,Rate,17.9,101
Battery Park/Tribeca,2014,Rate,18.7,101
Battery Park/Tribeca,2013,Rate,18.2,101
Battery Park/Tribeca,2012,Rate,19,101
Battery Park/Tribeca,2011,Rate,17.5,101
Battery Park/Tribeca,2010,Rate,17.7,101
Battery Park/Tribeca,2009,Rate,16.4,101
Battery Park/Tribeca,2008,Rate,15.5,101
Battery Park/Tribeca,2007,Rate,15.2,101
Battery Park/Tribeca,2006,Rate,14.8,101
Battery Park/Tribeca,2005,Rate,13.6,101
Battery Park/Tribeca,2004,Rate,13.4,101
Battery Park/Tribeca,2003,Rate,13.1,101
Battery Park/Tribeca,2002,Rate,9.6,101
Battery Park/Tribeca,2001,Rate,13.2,101
Battery Park/Tribeca,2000,Rate,12.4,101
Greenwich Village,2017,Rate,7.6,102
Greenwich Village,2016,Rate,8.5,102
Greenwich Village,2015,Rate,8.6,102
Greenwich Village,2014,Rate,8.3,102
Greenwich Village,2013,Rate,8.6,102
Greenwich Village,2012,Rate,9.3,102
Greenwich Village,2011,Rate,8.8,102
Greenwich Village,2010,Rate,9.1,102
Greenwich Village,2009,Rate,9.9,102
Greenwich Village,2008,Rate,9.7,102
Greenwich Village,2007,Rate,9.9,102
Greenwich Village,2006,Rate,10,102
Greenwich Village,2005,Rate,9.3,102
Greenwich Village,2004,Rate,9,102
Greenwich Village,2003,Rate,9.1,102
Greenwich Village,2002,Rate,8.3,102
Greenwich Village,2001,Rate,8.1,102
Greenwich Village,2000,Rate,8,102
Greenwich Village,2000,Number,745,102
Greenwich Village,2001,Number,754,102
Greenwich Village,2002,Number,769,102
Greenwich Village,2003,Number,842,102
