Location,Data,Fips
Kingsbridge - Riverdale,0.224,uhf101
Northeast Bronx,0.213,uhf102
Fordham - Bronx Park,0.239,uhf103
Pelham - Throgs Neck,0.226,uhf104
Crotona - Tremont,0.264,uhf105
High Bridge - Morrisania,0.231,uhf106
Hunts Point - Mott Haven,0.252,uhf107
Greenpoint,0.267,uhf201
Downtown  - Heights - Slope,0.224,uhf202
Bedford Stuyvesant - Crown Heights,0.218,uhf203
East New York,0.23,uhf204
Sunset Park,0.248,uhf205
Borough Park,0.214,uhf206
East Flatbush - Flatbush,0.216,uhf207
Canarsie - Flatlands,0.209,uhf208
Bensonhurst - Bay Ridge,0.194,uhf209
Coney Island - Sheepshead Bay,0.19,uhf210
Williamsburg - Bushwick,0.246,uhf211
Washington Heights - Inwood,0.262,uhf301
Central Harlem - Morningside Heights,0.242,uhf302
East Harlem,0.283,uhf303
Upper West Side,0.161,uhf304
Upper East Side,0.091,uhf305
Chelsea - Clinton,0.187,uhf306
Gramercy Park -  Murray Hill,0.149,uhf307
Greenwich Village - Soho,0.132,uhf308
Union Square - Lower East Side,0.185,uhf309
Lower Manhattan,0.197,uhf310
Long Island City - Astoria,0.221,uhf401
West Queens,0.234,uhf402
Flushing - Clearview,0.166,uhf403
Bayside - Little Neck,0.129,uhf404
Ridgewood - Forest Hills,0.208,uhf405
Fresh Meadows,0.172,uhf406
Southwest Queens,0.2,uhf407
Jamaica,0.216,uhf408
Southeast Queens,0.21,uhf409
Rockaway,0.214,uhf410
Port  Richmond,0.23,uhf501
Stapleton - St. George,0.225,uhf502
Willowbrook,0.214,uhf503
South Beach - Tottenville,0.204,uhf504
Bronx,0.237,36005
Brooklyn,0.219,36047
Manhattan,0.221,36061
Queens,0.205,36081
Staten Island,0.215,36085
New York City,0.219,3651000
Kingsbridge - Riverdale,0.223,uhf101
Northeast Bronx,0.232,uhf102
Fordham - Bronx Park,0.239,uhf103
Pelham - Throgs Neck,0.239,uhf104
Crotona - Tremont,0.23,uhf105
High Bridge - Morrisania,0.23,uhf106
Hunts Point - Mott Haven,0.239,uhf107
Greenpoint,0.261,uhf201
Downtown  - Heights - Slope,0.206,uhf202
Bedford Stuyvesant - Crown Heights,0.218,uhf203
East New York,0.23,uhf204
Sunset Park,0.238,uhf205
Borough Park,0.201,uhf206
East Flatbush - Flatbush,0.219,uhf207
Canarsie - Flatlands,0.213,uhf208
Bensonhurst - Bay Ridge,0.195,uhf209
Coney Island - Sheepshead Bay,0.191,uhf210
Williamsburg - Bushwick,0.241,uhf211
Washington Heights - Inwood,0.265,uhf301
Central Harlem - Morningside Heights,0.235,uhf302
East Harlem,0.256,uhf303
Upper West Side,0.158,uhf304
Upper East Side,0.122,uhf305
Chelsea - Clinton,0.175,uhf306
Gramercy Park -  Murray Hill,0.151,uhf307
Greenwich Village - Soho,0.118,uhf308
Union Square - Lower East Side,0.161,uhf309
Lower Manhattan,0.095,uhf310
Long Island City - Astoria,0.205,uhf401
West Queens,0.236,uhf402
Flushing - Clearview,0.163,uhf403
Bayside - Little Neck,0.123,uhf404
Ridgewood - Forest Hills,0.192,uhf405
Fresh Meadows,0.164,uhf406
Southwest Queens,0.193,uhf407
Jamaica,0.203,uhf408
Southeast Queens,0.209,uhf409
Rockaway,0.213,uhf410
Port  Richmond,0.225,uhf501
Stapleton - St. George,0.222,uhf502
Willowbrook,0.209,uhf503
South Beach - Tottenville,0.2,uhf504
Bronx,0.234,36005
Brooklyn,0.216,36047
Manhattan,0.206,36061
Queens,0.2,36081
Staten Island,0.211,36085
New York City,0.214,3651000
Kingsbridge - Riverdale,0.209,uhf101
Northeast Bronx,0.221,uhf102
Fordham - Bronx Park,0.23,uhf103
Pelham - Throgs Neck,0.226,uhf104
Crotona - Tremont,0.224,uhf105
High Bridge - Morrisania,0.232,uhf106
Hunts Point - Mott Haven,0.246,uhf107
Greenpoint,0.245,uhf201
Downtown  - Heights - Slope,0.186,uhf202
Bedford Stuyvesant - Crown Heights,0.227,uhf203
East New York,0.233,uhf204
Sunset Park,0.232,uhf205
Borough Park,0.19,uhf206
East Flatbush - Flatbush,0.227,uhf207
Canarsie - Flatlands,0.209,uhf208
Bensonhurst - Bay Ridge,0.175,uhf209
Coney Island - Sheepshead Bay,0.18,uhf210
Williamsburg - Bushwick,0.235,uhf211
Washington Heights - Inwood,0.26,uhf301
Central Harlem - Morningside Heights,0.247,uhf302
East Harlem,0.258,uhf303
Upper West Side,0.148,uhf304
Upper East Side,0.115,uhf305
Chelsea - Clinton,0.155,uhf306
Gramercy Park -  Murray Hill,0.157,uhf307
Greenwich Village - Soho,0.117,uhf308
Union Square - Lower East Side,0.155,uhf309
Lower Manhattan,0.098,uhf310
Long Island City - Astoria,0.221,uhf401
West Queens,0.231,uhf402
Flushing - Clearview,0.148,uhf403
Bayside - Little Neck,0.116,uhf404
Ridgewood - Forest Hills,0.195,uhf405
Fresh Meadows,0.152,uhf406
Southwest Queens,0.19,uhf407
Jamaica,0.214,uhf408
Southeast Queens,0.194,uhf409
Rockaway,0.203,uhf410
Port  Richmond,0.224,uhf501
Stapleton - St. George,0.209,uhf502
Willowbrook,0.206,uhf503
South Beach - Tottenville,0.193,uhf504
Bronx,0.228,36005
Brooklyn,0.211,36047
Manhattan,0.201,36061
Queens,0.197,36081
Staten Island,0.205,36085
New York City,0.209,3651000
Kingsbridge - Riverdale,0.216,uhf101
Northeast Bronx,0.215,uhf102
Fordham - Bronx Park,0.233,uhf103
Pelham - Throgs Neck,0.224,uhf104
Crotona - Tremont,0.243,uhf105
High Bridge - Morrisania,0.235,uhf106
Hunts Point - Mott Haven,0.243,uhf107
Greenpoint,0.263,uhf201
Downtown  - Heights - Slope,0.186,uhf202
Bedford Stuyvesant - Crown Heights,0.223,uhf203
East New York,0.242,uhf204
